full_name,name,owner.login,owner.type,created_at,description,forks_count,stargazers_count,watchers_count,has_downloads,has_pages,has_issues,has_wiki
bquast/decompr,decompr,bquast,User,2014-07-14T08:43:17Z,R package for export decomposition,1,1,1,True,True,True,True
cran/sapa,sapa,cran,Organization,2014-03-13T06:13:32Z,Spectral Analysis for Physical Applications,0,0,0,True,False,False,False
mattdelhey/plda,plda,mattdelhey,User,2014-11-24T19:39:42Z,[r package] poisson discriminant analysis,0,0,0,True,False,True,True
vsbuffalo/pygmentr,pygmentr,vsbuffalo,User,2015-03-15T19:54:36Z,Python Pygments from R,0,0,0,True,False,True,True
petrbouchal/pbtools,pbtools,petrbouchal,User,2014-05-11T09:38:28Z,Personal R package for reusable code and data,0,0,0,True,False,True,True
cran/blowtorch,blowtorch,cran,Organization,2014-05-09T00:44:32Z,Constrained optimization via stochastic gradient descent.,0,0,0,True,False,False,False
kohleth/kmisc,kmisc,kohleth,User,2015-03-19T00:15:47Z,,0,0,0,True,False,True,True
stouffer/intprefs,intprefs,stouffer,User,2014-11-18T23:03:23Z,Estimating interaction preferences in R,1,0,0,True,False,True,True
jeanmarielepioufle/graph,graph,jeanmarielepioufle,User,2015-04-02T15:19:34Z,,0,0,0,True,False,True,True
cran/RbioRXN,RbioRXN,cran,Organization,2014-03-13T03:21:47Z,"RbioRXN - process Rhea and MetaCyc (BioCyc, EcoCyc) biochemical",2,0,0,True,False,False,False
piquelab/multiclassLR,multiclassLR,piquelab,Organization,2015-01-07T00:13:51Z,multinomial logistic regression model for MESH output ,1,0,0,True,False,True,True
lcolladotor/derfinder,derfinder,lcolladotor,User,2013-07-18T15:31:22Z,Fast differential expression analysis of RNA-seq data at base-pair resolution,10,16,16,True,True,True,True
cran/adegraphics,adegraphics,cran,Organization,2015-04-14T12:43:56Z,An S4 Lattice-Based Package for the Representation of,0,0,0,True,False,False,False
dppascual/edist,edist,dppascual,User,2015-01-18T23:15:20Z,,0,0,0,True,False,True,True
bgreenwell/misc,misc,bgreenwell,User,2014-11-26T14:39:33Z,Miscellaneous R functions,0,0,0,True,False,True,True
cran/unittest,unittest,cran,Organization,2014-08-23T18:44:05Z,TAP-compliant unit testing.,0,0,0,True,False,False,False
pbreheny/visreg,visreg,pbreheny,User,2012-08-13T15:20:12Z,R: Visualization of regression functions,0,3,3,True,True,True,True
kevinrue/GOexpress-release,GOexpress-release,kevinrue,User,2014-10-17T09:00:21Z,Release version of the GOexpress Bioconductor package,0,0,0,True,False,True,True
cran/multitaper,multitaper,cran,Organization,2014-03-13T05:27:42Z,Multitaper spectral analysis tools,0,0,0,True,False,False,False
LaraS/APIM.SEM,APIM.SEM,LaraS,User,2015-02-04T15:25:36Z,Actor Partner Interdepence Model using APIM,0,0,0,True,False,True,True
chuanway/lengthconvert,lengthconvert,chuanway,User,2015-04-26T07:42:04Z,Converts between inch and cm,0,0,0,True,False,True,True
cran/npIntFactRep,npIntFactRep,cran,Organization,2015-01-21T17:44:21Z,Nonparametric Rank Test for Interaction in Factorial Designs,0,0,0,True,False,False,False
jhchung/mdcaptionr,mdcaptionr,jhchung,User,2014-11-21T19:16:48Z,Create caption labels in markdown,0,0,0,True,False,True,True
ggobi/cranvas,cranvas,ggobi,Organization,2010-12-16T20:33:28Z,"Interactive graphics in R using Qt interfaces, a descendant of ggobi software",16,68,68,True,False,True,True
usagi5886/PraatR,PraatR,usagi5886,User,2014-05-28T19:46:50Z,An architecture for controlling Praat with R,3,5,5,True,False,True,True
cran/EMMREML,EMMREML,cran,Organization,2014-03-12T18:47:39Z,Fitting mixed models with known covariance structures.,0,0,0,True,False,False,False
Bioconductor-mirror/RamiGO,RamiGO,Bioconductor-mirror,Organization,2015-03-27T14:17:34Z,,0,0,0,False,False,False,False
Bioconductor-mirror/pdmclass,pdmclass,Bioconductor-mirror,Organization,2015-03-27T18:58:37Z,,0,0,0,False,False,False,False
cran/multgee,multgee,cran,Organization,2014-03-13T05:27:10Z,GEE Solver for Correlated Nominal or Ordinal Multinomial,0,0,0,True,False,False,False
cran/Luminescence,Luminescence,cran,Organization,2014-03-12T19:21:19Z,Package for Luminescence Dating data analysis,0,0,0,True,False,False,False
metacran/ghdb,ghdb,metacran,Organization,2015-03-28T04:42:18Z,Database of R packages in Github,0,0,0,True,False,True,True
jrs9/Stat201,Stat201,jrs9,User,2015-01-29T19:32:08Z,,0,0,0,True,False,True,True
robest/RServerTest,RServerTest,robest,User,2014-12-03T11:52:32Z,,0,0,0,True,False,True,True
genomicsclass/old_dagdata,old_dagdata,genomicsclass,Organization,2014-01-18T15:10:23Z,Some of the data sets for PH525x: Data Analysis for Genomics,28,2,2,True,False,True,True
cran/fastpseudo,fastpseudo,cran,Organization,2015-02-20T23:44:01Z,Fast Pseudo Observations,0,0,0,True,False,False,False
yindeng/shinyData,shinyData,yindeng,User,2014-12-30T20:50:56Z,"A GUI for interactive data analysis, visualization and presentation",10,27,27,True,True,True,True
cran/bspec,bspec,cran,Organization,2014-03-13T04:10:26Z,Bayesian spectral inference,0,0,0,True,False,False,False
cran/Rsymphony,Rsymphony,cran,Organization,2014-03-13T03:32:22Z,Symphony in R,1,0,0,True,False,False,False
okugami79/googletrend,googletrend,okugami79,User,2013-10-10T05:25:31Z,R package 2013 google trend ,8,6,6,True,False,True,True
xfim/ggmcmc,ggmcmc,xfim,User,2012-10-17T13:30:39Z,Graphical tools for analyzing Markov Chain Monte Carlo simulations from Bayesian inference,11,28,28,True,False,True,True
SCCWRP/BMIMetrics,BMIMetrics,SCCWRP,Organization,2015-01-29T18:38:29Z,,0,0,0,True,False,True,True
mmparker/tbdiag,tbdiag,mmparker,User,2011-04-26T17:44:24Z,A set of R functions to assist researchers working on tuberculosis diagnostics.,0,0,0,True,False,True,True
avant-gardED/TextIO,TextIO,avant-gardED,Organization,2015-03-17T16:37:16Z,TextIO,0,0,0,True,False,True,True
cran/sgof,sgof,cran,Organization,2014-03-13T06:18:28Z,Multiple hypothesis testing,0,0,0,True,False,False,False
gjabel/migest,migest,gjabel,User,2015-01-10T22:39:54Z,,0,0,0,True,False,True,True
nolanlab/citrus,citrus,nolanlab,Organization,2012-11-21T22:41:27Z,Citrus Development Code,4,3,3,True,False,True,True
tom-jin/LazyABC,LazyABC,tom-jin,User,2015-01-29T10:53:42Z,Code for OxWaSP Bayesian Inference,0,0,0,True,False,True,True
Bioconductor-mirror/fabia,fabia,Bioconductor-mirror,Organization,2015-03-27T15:43:38Z,,0,0,0,False,False,False,False
dereksonderegger/STA_575_R_Code,STA_575_R_Code,dereksonderegger,User,2014-09-06T07:32:20Z,,0,0,0,True,False,True,True
Bioconductor-mirror/flowFP,flowFP,Bioconductor-mirror,Organization,2015-03-27T15:47:42Z,,0,0,0,False,False,False,False
adsteen/metabalize,metabalize,adsteen,User,2013-11-18T18:52:35Z,An R package to work with metabolomic LC-MS/MS data,1,0,0,True,False,True,True
cran/LMERConvenienceFunctions,LMERConvenienceFunctions,cran,Organization,2014-03-12T19:18:25Z,A suite of functions to back-fit fixed effects and forward-fit,0,0,0,True,False,False,False
cran/gemtc,gemtc,cran,Organization,2014-03-13T04:49:36Z,GeMTC network meta-analysis,0,0,0,True,False,False,False
tpilz/LUMP,LUMP,tpilz,User,2015-01-09T12:54:44Z,R package: Landscape Unit Mapping Program,1,0,0,True,False,True,True
cran/simMSM,simMSM,cran,Organization,2014-03-13T06:19:16Z,Simulation of event histories based on nonlinear hazard rate,0,0,0,True,False,False,False
USGS-R/smwrBase,smwrBase,USGS-R,Organization,2013-03-06T23:15:47Z,Base USGS water science R functions.,3,1,1,True,False,True,True
ecor/RMAWGEN,RMAWGEN,ecor,User,2014-10-28T10:58:27Z,Github version on RMAWGEN package (http://cran.r-project.org/web/packages/RMAWGEN/index.html),0,1,1,True,False,True,True
cran/ivpanel,ivpanel,cran,Organization,2015-02-09T01:43:59Z,Instrumental Panel Data Models,0,0,0,True,False,False,False
cran/actuar,actuar,cran,Organization,2014-03-13T03:51:17Z,Actuarial functions,0,1,1,True,False,False,False
lebebr01/simReg,simReg,lebebr01,User,2013-01-25T20:35:03Z,Regression simulation function,2,5,5,True,False,True,True
mbojan/mbtools,mbtools,mbojan,User,2015-01-20T01:15:25Z,Chaotic Collection of Functions and Datasets Possibly Useful Also to Others,0,0,0,True,False,True,True
cran/hbm,hbm,cran,Organization,2015-02-01T19:44:16Z,Hierarchical Block Matrix Analysis,0,0,0,True,False,False,False
llaniewski/gaussAlgebra,gaussAlgebra,llaniewski,User,2014-10-30T16:29:13Z,Efficient implementation of an algebra of polynomial-times-Gaussian functions,1,0,0,True,False,True,True
cran/mlxR,mlxR,cran,Organization,2015-01-12T23:44:27Z,Simulation of Longitudinal Data,1,1,1,True,False,False,False
smgogarten/SeqVarTools,SeqVarTools,smgogarten,User,2015-01-06T23:45:19Z,An extension of SeqArray with tools for analysis of sequencing variants,0,0,0,True,False,True,True
fbalao/AFLPsim,AFLPsim,fbalao,User,2012-07-16T20:26:11Z,AFLPsim,0,1,1,True,False,True,True
cran/dendextend,dendextend,cran,Organization,2014-03-13T04:24:45Z,Extending R's dendrogram functionality,0,0,0,True,False,False,False
behuang/dlmap,dlmap,behuang,User,2013-12-20T03:37:56Z,Detection and localization QTL mapping,0,0,0,True,False,True,True
lemireoicr/celluloid_0.10,celluloid_0.10,lemireoicr,User,2015-04-24T13:00:18Z,CELLULOID: tumour cellularity and ploidy tool,0,0,0,True,False,True,True
tomliptrot/tomr,tomr,tomliptrot,User,2015-03-26T10:58:09Z,,0,0,0,True,False,True,True
erikriverson/pilr.fulcrum.r,pilr.fulcrum.r,erikriverson,User,2014-12-03T20:07:57Z,,0,0,0,True,False,True,True
ra125/concomp,concomp,ra125,User,2014-12-04T03:55:11Z,523 Final Project,0,0,0,True,False,True,True
Bioconductor-mirror/AgiMicroRna,AgiMicroRna,Bioconductor-mirror,Organization,2015-03-27T13:02:30Z,,0,0,0,False,False,False,False
mschubert/r-h5store,r-h5store,mschubert,User,2014-09-04T20:30:09Z,R package for easy loading and saving of HDF5 objects,0,0,0,True,False,True,True
cran/catR,catR,cran,Organization,2014-03-13T04:13:03Z,Procedures to generate IRT adaptive tests (CAT),0,0,0,True,False,False,False
tjconstant/photonMonkey,photonMonkey,tjconstant,User,2013-05-05T14:09:45Z,Misc convenience functions for use in photonics.,1,0,0,True,False,True,True
rOpenGov/gisfin,gisfin,rOpenGov,Organization,2014-01-03T15:00:44Z,Finland GIS package for R ,1,5,5,True,False,True,True
chavent/sparsePCA,sparsePCA,chavent,User,2015-04-02T14:48:35Z,,0,0,0,True,False,True,True
chunquanli/DRWPClassGM,DRWPClassGM,chunquanli,User,2015-02-03T05:34:25Z,DRW-GM,0,0,0,True,False,True,True
homerhanumat/Rdym2,Rdym2,homerhanumat,User,2014-12-12T04:38:10Z,Fork of wratematics/Rdym,0,0,0,True,False,True,True
cboettig/dataone-lite,dataone-lite,cboettig,User,2015-01-30T22:24:17Z,,0,0,0,True,False,True,True
jcizel/instantShiny,instantShiny,jcizel,User,2015-02-21T17:31:40Z,Instantly scaffold modular Shiny dashboards.,0,0,0,True,False,True,True
kos59125/DYM,DYM,kos59125,User,2015-02-11T14:17:46Z,Adds 'Did you mean' feature to the R interactive,0,2,2,True,False,True,True
Bioconductor-mirror/messina,messina,Bioconductor-mirror,Organization,2015-03-27T16:49:26Z,,0,0,0,False,False,False,False
cran/pocrm,pocrm,cran,Organization,2014-03-13T05:49:52Z,Dose-finding in drug combination Phase I trials using the,0,0,0,True,False,False,False
cran/ks,ks,cran,Organization,2014-03-13T05:06:02Z,Kernel smoothing,0,0,0,True,False,False,False
Bioconductor-mirror/msmsEDA,msmsEDA,Bioconductor-mirror,Organization,2015-03-27T16:55:45Z,,0,0,0,False,False,False,False
CharlesJB/heatmapHIV,heatmapHIV,CharlesJB,User,2015-04-24T18:25:07Z,,0,0,0,True,False,True,True
jefferis/rcatmaid,rcatmaid,jefferis,User,2014-10-23T17:58:48Z,R access to the API for the CATMAID web image annotation tool,1,0,0,True,False,True,True
trevorld/optparse,optparse,trevorld,User,2013-05-04T01:09:16Z,R package providing a commandline optional argument parser,7,11,11,True,False,True,True
PasiAhopelto/rmarc,rmarc,PasiAhopelto,User,2015-03-03T18:10:12Z,MARC read and write library for GNU R,0,0,0,True,False,True,True
Bioconductor-mirror/TCC,TCC,Bioconductor-mirror,Organization,2015-03-27T14:26:36Z,,0,0,0,False,False,False,False
CharlesJB/mm10.mirna.annotations,mm10.mirna.annotations,CharlesJB,User,2015-04-28T17:29:06Z,,0,0,0,True,False,True,True
olafmersmann/microbenchmark,microbenchmark,olafmersmann,User,2014-12-21T15:31:29Z,,0,0,0,True,False,True,True
Rasputank/Ovaltine2,Ovaltine2,Rasputank,User,2015-01-21T16:50:09Z,,0,0,0,True,False,True,True
mdrasche/Mediation-app-,Mediation-app-,mdrasche,User,2014-12-01T15:43:35Z,,0,0,0,True,False,True,True
cran/bayesLife,bayesLife,cran,Organization,2014-03-13T04:02:08Z,Bayesian Projection of Life Expectancy,0,0,0,True,False,False,False
jeroenooms/webutils,webutils,jeroenooms,User,2014-10-28T23:06:56Z,Utility functions for web applications,1,6,6,True,False,True,True
cran/DataCombine,DataCombine,cran,Organization,2014-03-13T02:25:40Z,R tools for making it easier to combine and clean data sets.,0,0,0,True,False,False,False
cran/nFCA,nFCA,cran,Organization,2015-02-15T07:43:44Z,Numerical Formal Concept Analysis for Systematic Clustering,0,0,0,True,False,False,False
Bioconductor-mirror/flowUtils,flowUtils,Bioconductor-mirror,Organization,2015-03-27T15:49:19Z,,0,0,0,False,False,False,False
Bioconductor-mirror/RNAither,RNAither,Bioconductor-mirror,Organization,2015-03-27T14:16:27Z,,0,0,0,False,False,False,False
emilyborsting/nsqiputils,nsqiputils,emilyborsting,User,2015-04-16T13:46:19Z,Utility functions for working with the ACS NSQIP dataset using R.,0,0,0,True,False,True,True
Bioconductor-mirror/made4,made4,Bioconductor-mirror,Organization,2015-03-27T16:48:40Z,,0,0,0,False,False,False,False
cran/powerGWASinteraction,powerGWASinteraction,cran,Organization,2014-03-13T05:51:28Z,Power Calculations for Interactions for GWAS,0,0,0,True,False,False,False
azvoleff/teamlucc,teamlucc,azvoleff,User,2013-08-23T19:29:20Z,Analysis of land use and cover change using satellite imagery,3,10,10,True,False,True,False
cran/ThreeArmedTrials,ThreeArmedTrials,cran,Organization,2015-01-04T23:44:30Z,Design and Analysis of Clinical Non-inferiority or Superiority,0,0,0,True,False,False,False
tsieger/idendr0,idendr0,tsieger,User,2015-04-10T10:26:24Z,Interactive Dendrograms (backport of idendro to Tcl/Tk),0,0,0,True,False,True,True
cran/TBSSurvival,TBSSurvival,cran,Organization,2014-03-13T03:42:14Z,TBS Model R package,0,0,0,True,False,False,False
dianalow/deltaGseg-devel,deltaGseg-devel,dianalow,User,2014-06-23T03:00:14Z,deltaGseg development branch,0,0,0,True,False,True,True
ramhiser/sortinghat,sortinghat,ramhiser,User,2013-10-11T03:45:09Z,Classification Benchmarking Framework in R,1,2,2,True,False,True,True
hughjonesd/htmlforms,htmlforms,hughjonesd,User,2014-12-11T00:17:28Z,"HTML forms for R, with checking and autofill",0,0,0,True,False,True,True
tsieger/idendro,idendro,tsieger,User,2012-06-19T11:04:48Z,Interactive Dendrograms,1,1,1,True,False,True,True
cran/NORRRM,NORRRM,cran,Organization,2015-03-11T22:44:49Z,Geochemical Toolkit for R,0,0,0,True,False,False,False
cran/cchs,cchs,cran,Organization,2015-01-29T17:44:10Z,Cox Model for Case-Cohort Data with Stratified,0,0,0,True,False,False,False
cran/flower,flower,cran,Organization,2015-01-28T11:44:08Z,Tools for characterizing flowering traits,1,1,1,True,False,False,False
cran/Rlabkey,Rlabkey,cran,Organization,2014-03-13T03:29:49Z,Data exchange between R and LabKey Server,0,0,0,True,False,False,False
cran/anfis,anfis,cran,Organization,2015-01-16T15:44:29Z,Adaptive Neuro Fuzzy Inference System in R,0,0,0,True,False,False,False
Bioconductor-mirror/netbiov,netbiov,Bioconductor-mirror,Organization,2015-03-27T16:56:38Z,,0,0,0,False,False,False,False
cran/ssd,ssd,cran,Organization,2014-11-18T15:44:59Z,Sample Size Determination (SSD) for Unordered Categorical Data,0,0,0,True,False,False,False
cran/royston,royston,cran,Organization,2014-03-13T06:10:09Z,Royston's H Test: Multivariate Normality Test,0,0,0,True,False,False,False
avantcredit/aws-tools,aws-tools,avantcredit,Organization,2014-12-05T16:25:12Z,"Local copy of AWS.tools, which has been removed from CRAN",0,0,0,True,False,True,True
AKLLaursen/euleR,euleR,AKLLaursen,User,2015-02-16T09:36:56Z,Solutions for https://projecteuler.net/ problems,0,0,0,True,False,True,True
cran/mpt,mpt,cran,Organization,2014-03-13T05:25:18Z,Multinomial Processing Tree (MPT) Models,0,0,0,True,False,False,False
IvanRicarte/Evidasp,Evidasp,IvanRicarte,User,2015-02-06T16:35:02Z,Scripts R para Projeto Evid@SP,0,0,0,True,False,True,True
dgrtwo/GSEAMA,GSEAMA,dgrtwo,User,2014-08-22T20:12:35Z,Gene Set Enrichment Analysis Made Awesome,1,1,1,True,False,True,True
rmflight/fmcorrelationbreastcaparp1,fmcorrelationbreastcaparp1,rmflight,User,2014-12-10T18:04:18Z,Analysis of nucleosome associated PARP1 reads in Breast Cancer cell lines,0,0,0,True,True,True,True
jburkhardt/RAdwords,RAdwords,jburkhardt,User,2014-04-11T13:34:15Z,Loading Adwords Data into R,11,15,15,True,False,True,True
Bioconductor-mirror/ffpe,ffpe,Bioconductor-mirror,Organization,2015-03-27T15:44:19Z,,0,0,0,False,False,False,False
junkka/sweboundaries,sweboundaries,junkka,User,2015-03-13T22:18:16Z,R data for Swedish administrative boundaries 1977-2008,0,0,0,True,False,True,True
SophiaJia/Jsurvformat1.1,Jsurvformat1.1,SophiaJia,User,2015-01-22T19:32:12Z,old1.1,0,0,0,True,False,True,True
julierennes/denoiseR,denoiseR,julierennes,User,2015-04-04T09:09:21Z,Regularized low rank matrix estimation,0,1,1,True,False,True,True
BioStatMatt/sas7bdat,sas7bdat,BioStatMatt,User,2011-04-18T12:26:48Z,A reverse engineering of the sas7bdat database file format,13,46,46,True,False,True,True
jalapic/sweep,sweep,jalapic,User,2015-03-07T17:30:05Z,sweep htmlwidget for R,0,2,2,True,False,True,True
cran/extRemes,extRemes,cran,Organization,2014-03-13T04:37:24Z,Extreme Value Analysis,0,0,0,True,False,False,False
cbig/zonator,zonator,cbig,Organization,2013-03-12T13:57:04Z,Utility tools for for anybody interested in using a familiar tool (R) in setting up Zonation runs and managing Zonation results.,2,2,2,True,True,True,True
cran/ChemoSpec,ChemoSpec,cran,Organization,2014-03-12T18:36:11Z,Exploratory Chemometrics for Spectroscopy,0,0,0,True,False,False,False
cran/ergm,ergm,cran,Organization,2014-03-13T04:35:52Z,"Fit, Simulate and Diagnose Exponential-Family Models for",0,0,0,True,False,False,False
steingod/R-ncradflux,R-ncradflux,steingod,User,2013-11-24T18:39:15Z,Interface to radiative observations in NetCDF/CF.,0,0,0,True,False,True,True
cran/smacof,smacof,cran,Organization,2014-03-13T06:20:25Z,SMACOF for Multidimensional Scaling.,0,0,0,True,False,False,False
cran/R.utils,R.utils,cran,Organization,2014-03-13T02:45:34Z,Various programming utilities,0,0,0,True,False,False,False
twolodzko/boots,boots,twolodzko,User,2015-03-29T17:07:15Z,Bootstrap time-series,0,0,0,True,False,True,True
Hackout2/mapData,mapData,Hackout2,Organization,2015-02-11T12:56:40Z,Helper functions for preparing outbreak data for interactive maps,2,1,1,True,False,True,True
Bioconductor-mirror/spliceSites,spliceSites,Bioconductor-mirror,Organization,2015-03-27T19:07:42Z,,0,0,0,False,False,False,False
albertofranzin/argsparsR,argsparsR,albertofranzin,User,2015-03-26T16:14:44Z,Small R package to get command line arguments given to R scripts.,0,0,0,True,False,True,True
cran/classInt,classInt,cran,Organization,2014-03-13T04:15:34Z,Choose univariate class intervals,0,0,0,True,False,False,False
kos59125/RaaS,RaaS,kos59125,User,2015-01-18T16:46:51Z,R as a Shell,0,3,3,True,False,True,True
ozway/debugCubfits,debugCubfits,ozway,User,2014-11-07T17:31:31Z,"Logan's version of cubfits for debugging, because I'm afraid of making a branch off of the large project.",0,0,0,True,False,True,True
alexgenin/formulr,formulr,alexgenin,User,2014-12-02T15:44:59Z,formulr: a helper package to deal with formulas like y ~ x | g in R,0,0,0,True,False,True,True
Bioconductor-mirror/flowCyBar,flowCyBar,Bioconductor-mirror,Organization,2015-03-27T15:47:26Z,,0,0,0,False,False,False,False
GioBo/TR8,TR8,GioBo,User,2014-10-02T09:52:46Z,R package for downloading functional traits data for plant species,1,1,1,True,False,True,True
cran/miscFuncs,miscFuncs,cran,Organization,2014-03-13T05:21:39Z,Miscellaneous Useful Functions,0,0,0,True,False,False,False
rOpenGov/helsinki,helsinki,rOpenGov,Organization,2013-12-18T22:14:24Z,R Tools for open data on Helsinki capital region in Finland,0,3,3,True,False,True,True
impromptuRong/microbr,microbr,impromptuRong,User,2015-04-27T15:44:21Z,,0,0,0,True,False,True,True
cran/DFIT,DFIT,cran,Organization,2014-05-20T06:44:31Z,Differential Functioning of Items and Tests (DFIT) framework,0,0,0,True,False,False,False
cran/gbm2sas,gbm2sas,cran,Organization,2015-04-18T08:44:59Z,Convert GBM Object Trees to SAS Code,0,0,0,True,False,False,False
cran/biogram,biogram,cran,Organization,2014-12-19T15:45:23Z,N-Gram Analysis of Biological Sequences,0,0,0,True,False,False,False
ggrothendieck/sqldf,sqldf,ggrothendieck,User,2015-03-13T03:12:03Z,Automatically exported from code.google.com/p/sqldf,4,6,6,False,False,True,False
ldanai/danailib,danailib,ldanai,User,2015-01-02T03:31:09Z,R/Danai: A package with Danai's personal R code,0,0,0,True,False,True,True
cran/solaR,solaR,cran,Organization,2014-03-13T06:21:22Z,Solar Photovoltaic Systems,0,0,0,True,False,False,False
vidual/analytics,analytics,vidual,Organization,2014-09-24T16:28:52Z,Vidual Analytics,1,3,3,True,False,True,False
cran/textometry,textometry,cran,Organization,2014-03-13T06:38:18Z,Textual Data Analysis Package used by the TXM Software,0,0,0,True,False,False,False
maddin79/darch,darch,maddin79,User,2013-07-26T13:08:27Z,Create deep architectures in the R programming language,8,16,16,True,False,True,True
trevorld/argparse,argparse,trevorld,User,2013-04-27T04:02:28Z,R package providing a command line optional and positional argument parser.,0,7,7,True,False,True,True
cran/tframePlus,tframePlus,cran,Organization,2014-03-13T06:38:22Z,Time Frame coding kernel extensions,0,0,0,True,False,False,False
timbp/qolscorer,qolscorer,timbp,User,2015-02-24T01:57:31Z,R package for scoring various quality of life instruments,0,0,0,True,False,True,True
duncantl/RGoogleDocs,RGoogleDocs,duncantl,User,2012-04-03T17:57:55Z,Primitive interface to Google Documents from R,4,18,18,True,False,True,True
Bioconductor-mirror/PLPE,PLPE,Bioconductor-mirror,Organization,2015-03-27T14:13:14Z,,0,0,0,False,False,False,False
zarquon42b/RResScripts,RResScripts,zarquon42b,User,2013-07-09T13:21:33Z,,0,0,0,True,False,True,True
cran/batchmeans,batchmeans,cran,Organization,2014-03-13T04:00:59Z,Consistent Batch Means Estimation of Monte Carlo Standard Errors,0,0,0,True,False,False,False
gelfondjal/IT2,IT2,gelfondjal,User,2014-07-03T04:01:37Z,,1,0,0,True,False,True,True
cran/ggmcmc,ggmcmc,cran,Organization,2014-03-13T04:51:32Z,Graphical tools for analyzing Markov Chain Monte Carlo,0,0,0,True,False,False,False
JohnGavin/catPkg,catPkg,JohnGavin,User,2014-12-07T19:59:34Z,,2,0,0,True,False,True,True
peterhurford/surveytools2,surveytools2,peterhurford,User,2015-02-18T21:41:29Z,Surveytools2 is a collection of R functions that make working with dplyr on survey analysis just a little bit better.,0,1,1,True,False,True,True
cran/selectr,selectr,cran,Organization,2014-03-13T06:15:57Z,Translate CSS Selectors to XPath Expressions,0,0,0,True,False,False,False
cran/jiebaRD,jiebaRD,cran,Organization,2015-01-04T07:44:56Z,Chinese Text Segmentation Data for jiebaR Package,0,0,0,True,False,False,False
StefanoAllesina/song,song,StefanoAllesina,User,2014-08-25T16:33:47Z,Song Overlap Null-model Generator for animal communication,1,0,0,True,False,True,True
cvarrichio/rpart.utils,rpart.utils,cvarrichio,User,2014-05-14T18:58:49Z,"Tools for parsing and manipulating rpart objects, including generating machine readable rules.",0,2,2,True,False,True,True
Bioconductor-mirror/MLP,MLP,Bioconductor-mirror,Organization,2015-03-27T14:06:59Z,,0,0,0,False,False,False,False
dcmuller/ncctools,ncctools,dcmuller,User,2013-07-31T09:50:51Z,R tools for creating and analysing incidence density sampled nested case-control data,0,0,0,True,False,True,True
wch/harbor,harbor,wch,User,2014-10-22T03:38:22Z,An R package for controlling docker containers on local and remote hosts,1,10,10,True,False,True,True
skranz/RMaxima,RMaxima,skranz,User,2013-08-15T18:30:08Z,Interface between R and Maxima (an open source computer algebra system),1,1,1,True,False,True,True
oharar/rBBS,rBBS,oharar,User,2015-01-09T11:08:38Z,R package to import USGS' BBS data,0,2,2,True,False,True,True
NMML/crawl,crawl,NMML,Organization,2011-07-07T19:58:07Z,R package for modeling animal movement with continuous-time correlated random walk models,1,3,3,True,True,True,True
hoxo-m/luxautil,luxautil,hoxo-m,User,2014-07-25T11:37:19Z,R Utilities in Luxa,1,0,0,True,False,True,True
smach/rivsutils,rivsutils,smach,User,2015-03-01T01:58:34Z,Collection of visualization functions I've found useful over the years,0,0,0,True,False,True,True
