"Package","Version","CRANRelease","SnapshotFirstDate","SnapshotLastDate","Depends","Imports","License","Suggests"
"AICcmodavg","2.00","2014-07-15 17:05:02","2014-07-17","2014-11-03","methods, stats",,"GPL (>= 2)","coxme, lme4, MASS, Matrix, maxlike, nlme, nnet, ordinal, pscl, R2jags, R2OpenBUGS, R2WinBUGS, stats4, survival, unmarked, VGAM"
"AID","1.3","2013-07-03 17:09:52","2013-09-03","2014-01-24","MASS, tseries, nortest, stats",,"GPL (>= 2)",
"AID","1.4","2014-01-21 15:17:07","2014-01-25","2015-04-13","MASS, tseries, nortest, stats",,"GPL (>= 2)",
"AID","1.5","2015-04-10 10:40:44","2015-04-14","2015-04-20","R (>= 3.1.1)","MASS, tseries, nortest","GPL (>= 2)",
"AIM","1.01","2010-04-05 21:01:23","2013-09-03","2015-04-20","survival","survival","LGPL-2",
"ALDqr","0.2","2013-06-16 08:27:19","2013-09-03","2014-01-25","R (>= 2.15.0), compiler, HyperbolicDist, RcppArmadillo, sn",,"GPL (>= 3.0)",
"ALDqr","0.5","2014-05-14 01:54:27","2014-05-15","2015-04-20","R (>= 2.15.0)","HyperbolicDist","GPL (>= 3.0)",
"ALKr","0.5.3","2013-05-26 08:25:27","2013-09-03","2014-02-28","R (>= 2.15.2), Rcpp (>= 0.10.2)","MASS, methods","BSD",
"ALKr","0.5.3.1","2014-02-26 14:25:03","2014-03-01","2015-04-20","R (>= 2.15.2)","MASS, methods, Rcpp (>= 0.10.2)","BSD_3_clause + file LICENSE",
"ALS","0.0.5","2012-03-19 17:28:56","2013-09-03","2015-04-20","nnls (>= 1.1), Iso, R (>= 2.10)",,"GPL (>= 2)",
"ALSCPC","1.0","2013-09-07 13:54:59","2013-09-10","2015-04-20",,,"GPL (>= 2)",
"ALTopt","0.1.0","2015-01-17 07:22:15","2015-01-20","2015-04-20","R (>= 3.0.0)","cubature (>= 1.0), lattice (>= 0.20)","GPL-3",
"AMAP.Seq","1.0","2012-06-19 16:55:48","2013-09-03","2015-04-20",,,"GPL (>= 2)",
"AMGET","1.0","2013-08-02 14:19:55","2013-09-03","2015-04-20",,,"GPL (>= 2)",
"AMOEBA","0.9","2013-12-02 23:03:11","2013-12-05","2014-04-30","snowfall, rlecuyer, spdep",,"GPL (>= 2)","maptools, plotrix,"
"AMOEBA","1.0","2014-04-29 10:05:14","2014-05-01","2014-08-25","snowfall, rlecuyer, spdep",,"GPL (>= 2)","maptools, plotrix,"
"AMOEBA","1.1","2014-08-23 14:59:27","2014-08-26","2015-04-20","snowfall, rlecuyer, spdep",,"GPL (>= 2)","maptools, plotrix,"
"AMORE","0.2-12","2010-03-25 08:01:20","2013-09-03","2013-12-18",,,"GPL (>= 2)",
"AMORE","0.2-14","2013-12-17 07:52:55","2013-12-19","2014-04-16",,,"GPL (>= 2)",
"AMORE","0.2-15","2014-04-14 14:53:31","2014-04-17","2015-04-20",,,"GPL (>= 2)",
"ANN","0.1.4","2012-04-21 06:25:15","2013-09-03","2014-06-02","R (>= 2.12.0)",,"GPL-3",
"AOfamilies","1.0","2012-10-18 15:22:42","2013-09-03","2014-01-24","lqmm, quantreg",,"GPL (>= 2)",
"AOfamilies","1.01","2014-01-20 18:42:10","2014-01-25","2015-04-20","lqmm, quantreg",,"GPL (>= 2)",
"APSIMBatch","0.1.0.2374","2012-10-29 13:13:35","2013-09-03","2015-04-20",,,"GPL-3",
"AR1seg","1.0","2014-06-05 15:58:18","2014-06-07","2015-04-20","Segmentor3IsBack",,"GPL-2",
"ARAMIS","1.0.1","2013-01-21 19:14:49","2013-09-03","2014-09-22","R (>= 2.15.0), MASS, LearnBayes, methods, graphics",,"GPL (>= 3)","mclust, parallel, copula, evd"
"ARPobservation","1.0","2014-05-30 00:52:41","2014-05-31","2015-02-13",,,"GPL-3","plyr, ggplot2, knitr"
"ARPobservation","1.1","2015-02-11 07:39:00","2015-02-14","2015-04-20",,,"GPL-3","plyr, reshape2, ggplot2, knitr, testthat"
"ARTIVA","1.2.1","2012-12-13 22:39:10","2013-09-03","2013-09-09","MASS, igraph0, gplots",,"GPL (>= 2)",
"ARTIVA","1.2.2","2013-09-09 09:05:59","2013-09-10","2014-08-20","MASS, igraph, gplots",,"GPL (>= 2)",
"ARTP","2.0.3","2013-07-30 21:59:49","2013-09-03","2014-02-21","",,"GPL-2",
"ARTP","2.0.4","2014-02-20 18:51:05","2014-02-22","2015-04-20","",,"GPL-2",
"ARTool","0.9.3","2014-12-02 12:24:51","2014-12-04","2015-04-20","lme4, car","plyr, pbkrtest","GPL (>= 2)","testthat, lsmeans"
"ASMap","0.3","2014-09-24 12:12:14","2014-09-27","2014-10-01","R (>= 2.0.0), qtl, gtools, fields, lattice",,"GPL (>= 2)",
"ASMap","0.3-1","2014-09-30 14:41:47","2014-10-02","2014-11-03","R (>= 2.0.0), qtl, gtools, fields, lattice",,"GPL (>= 2)",
"ASMap","0.3-2","2014-10-13 08:05:03","2014-11-04","2015-02-04","R (>= 2.0.0), qtl, gtools, fields, lattice",,"GPL (>= 2)",
"ASMap","0.3-3","2015-02-02 07:33:59","2015-02-05","2015-04-15","R (>= 2.0.0), qtl, gtools, fields, lattice",,"GPL (>= 2)",
"ASMap","0.4","2015-04-13 22:36:28","2015-04-16","2015-04-20","R (>= 2.10), qtl, gtools, fields, lattice",,"GPL (>= 2)","knitr"
"ASPBay","1.0","2014-12-02 14:28:25","2014-12-04","2014-12-10","hexbin, Rcpp",,"GPL-2",
"ASPBay","1.1","2014-12-10 02:34:03","2014-12-11","2015-01-16","hexbin, Rcpp",,"GPL-2",
"ASPBay","1.2","2015-01-14 19:24:24","2015-01-17","2015-04-20","hexbin, Rcpp",,"GPL-2",
"ATE","0.2.0","2015-02-17 23:43:01","2015-02-19","2015-04-20",,,"GPL (>= 2)",
"ATmet","1.2","2014-04-17 19:04:41","2014-04-19","2015-04-20","R (>= 2.7.0), DiceDesign, lhs, metRology, msm, sensitivity",,"GPL-3",
"AUC","0.2.0","2013-07-17 13:56:17","2013-09-03","2013-10-02",,,"GPL (>= 2)",
"AUC","0.3.0","2013-09-30 17:41:34","2013-10-03","2015-04-20",,,"GPL (>= 2)",
"AUCRF","1.1","2012-03-19 12:12:26","2013-09-03","2015-04-20","R (>= 2.11.0), randomForest",,"GPL (>= 2)",
"AWS.tools","0.0.5","2012-01-03 08:46:49","2013-09-03","2014-12-08","XML",,"GPL-3",
"AcceptanceSampling","1.0-2","2011-11-20 11:03:19","2013-09-03","2013-12-11","methods, R(>= 2.4.0), stats","graphics","GPL (>= 3)",
"AcceptanceSampling","1.0-3","2014-01-14 06:38:50","2014-01-16","2015-04-20","methods, R(>= 2.4.0), stats","graphics","GPL (>= 3)",
"Ace","0.0.8","2012-01-27 12:30:11","2013-09-03","2014-08-20","R (>= 2.9.0), stats",,"GPL (>= 2)",
"Actigraphy","1.2","2012-10-30 20:56:31","2013-09-03","2015-04-20","R (>= 2.14.0), fda, lattice, SDMTools",,"GPL-2",
"ActuDistns","3.0","2012-09-14 02:40:05","2013-09-03","2015-04-20","R (>= 2.15.0), reliaR, actuar, hypergeo",,"GPL (>= 2)",
"AdMit","1-01.06","2012-09-08 14:15:42","2013-09-03","2013-12-11","mvtnorm",,"GPL (>= 2)","coda"
"AdMit","2.0.1","2014-01-07 10:56:02","2014-01-09","2015-04-20","mvtnorm",,"GPL (>= 2)","coda"
"AdapEnetClass","1.0","2013-11-10 08:31:30","2013-11-12","2014-11-03","imputeYn, glmnet, lars, R (>= 2.14.2)",,"GPL-2",
"AdapEnetClass","1.1","2014-10-19 22:22:28","2014-11-04","2015-02-09","imputeYn, glmnet, lars, quadprog, R (>= 3.0.2)",,"GPL-2",
"AdaptFit","0.2-2","2012-10-29 13:13:35","2013-09-03","2015-04-20","SemiPar, MASS, nlme, cluster",,"GPL (>= 2)",
"AdaptFitOS","0.45","2012-12-14 12:58:11","2013-09-03","2014-03-21","SemiPar, MASS, nlme, cluster, mgcv, splines",,"GPL (>= 2)",
"AdaptFitOS","0.50","2014-03-19 10:12:30","2014-03-22","2014-07-23","SemiPar, nlme, MASS, mgcv",,"GPL (>= 2)","splines"
"AdaptFitOS","0.54","2014-07-22 13:48:30","2014-07-24","2015-04-20","SemiPar, nlme, MASS, mgcv",,"GPL (>= 2)","splines"
"AdaptiveSparsity","1.1","2013-09-17 20:12:20","2013-09-19","2013-09-20","Rcpp (>= 0.8.0), RcppArmadillo (>= 0.2.0)",,"LGPL (>= 3.0)","MASS, Matrix"
"AdaptiveSparsity","1.2","2013-09-19 08:47:08","2013-09-21","2013-12-11","Rcpp (>= 0.8.0), RcppArmadillo (>= 0.2.0)",,"LGPL (>= 3.0)","MASS, Matrix"
"AdaptiveSparsity","1.3","2013-12-10 07:56:16","2013-12-12","2014-01-06","Rcpp (>= 0.8.0), RcppArmadillo (>= 0.2.0)",,"LGPL (>= 3.0)","MASS, Matrix"
"AdaptiveSparsity","1.4","2014-01-03 18:14:18","2014-01-07","2015-04-20","R (>= 3.0.2), Rcpp (>= 0.8.0)",,"LGPL (>= 3.0)","MASS, Matrix"
"AdequacyModel","1.0.4","2013-07-23 02:29:55","2013-09-03","2013-10-28","R (>= 2.10.0)",,"GPL (>= 2)",
"AdequacyModel","1.0.5","2013-10-28 00:14:52","2013-10-29","2013-11-06",,"VGAM, timeDate, gbs","GPL (>= 2)",
"AdequacyModel","1.0.6","2013-11-06 07:10:58","2013-11-07","2013-12-16",,,"GPL (>= 2)",
"AdequacyModel","1.0.7","2013-12-13 15:50:31","2013-12-17","2013-12-23",,,"GPL (>= 2)",
"AdequacyModel","1.0.8","2013-12-20 17:01:26","2013-12-24","2015-04-20",,,"GPL (>= 2)",
"Agreement","0.8-1","2012-10-29 13:13:35","2013-09-03","2015-04-20","R (>= 2.1.0), R2HTML",,"GPL-2",
"Ake","1.0","2015-03-30 00:04:31","2015-03-31","2015-04-20",,,"GPL (>= 2)",
"AlgDesign","1.1-7","2011-10-15 21:52:33","2013-09-03","2014-02-12",,,"GPL (>= 2)",
"AlgDesign","1.1-7.1","2014-02-11 20:11:14","2014-02-13","2014-02-14",,,"GPL (>= 2)",
"AlgDesign","1.1-7.2","2014-02-12 10:10:52","2014-02-15","2014-11-03",,,"GPL (>= 2)",
"AlgDesign","1.1-7.3","2014-10-15 02:39:28","2014-11-04","2015-04-20",,,"GPL (>= 2)",
"AllPossibleSpellings","1.1","2012-10-29 13:13:36","2013-09-03","2015-04-20",,,"GPL-2",
"AlleleRetain","1.3.1","2013-06-30 15:18:00","2013-09-03","2015-04-20","R (>= 2.11.0)",,"GPL (>= 2)","pedigree"
"Amelia","1.7.2","2013-06-08 06:59:01","2013-09-03","2014-11-17","R (>= 2.15.3), foreign, utils, Rcpp (>= 0.10.0.4), RcppArmadillo",,"GPL (>= 2)","tcltk, Zelig"
"Amelia","1.7.3","2014-11-15 22:34:23","2014-11-18","2015-04-20","R (>= 3.0.2), Rcpp (>= 0.11)","foreign, utils","GPL (>= 2)","tcltk, Zelig"
"AmericanCallOpt","0.95","2012-03-04 16:32:01","2013-09-03","2015-04-20","R (>= 2.0.0)",,"GPL-3",
"AmpliconDuo","1.0","2014-03-20 17:53:47","2014-03-22","2015-04-20","R (>= 2.10), stats, ggplot2, xtable",,"GPL (>= 3)",
"AnDE","1.0","2013-07-25 12:44:00","2013-09-03","2015-04-20","R (>= 2.14.0),discretization, functional,foreign,stringr",,"GPL-3",
"AnalyzeFMRI","1.1-16","2013-03-19 15:38:14","2013-09-03","2015-04-20","tcltk, R.matlab, fastICA",,"GPL (>= 2)",
"AncestryMapper","1.1","2012-12-01 14:22:03","2013-09-03","2014-09-22",,,"Unlimited",
"AncestryMapper","1.2","2015-02-03 23:10:21","2015-02-05","2015-04-20",,,"GPL-2","knitr"
"AnglerCreelSurveySimulation","0.2.1","2015-01-04 06:55:16","2015-01-06","2015-04-20","R (>= 3.0.2)",,"GPL-3",
"Animal","1.04","2012-05-09 08:35:56","2013-09-03","2014-09-22",,,"GPL (>= 3)",
"AnnotLists","1.2","2011-10-23 12:07:32","2013-09-03","2015-04-20","tcltk",,"GPL",
"AntWeb","0.4","2014-02-16 00:47:08","2014-02-18","2014-02-19","R (>= 3.0.1)","rjson, plyr, assertthat, httr, leafletR (>= 0.1-1)","CC0",
"AntWeb","0.5","2014-02-17 07:07:39","2014-02-20","2014-03-14","R (>= 3.0.1)","rjson, plyr, assertthat, httr, leafletR (>= 0.1-1)","CC0",
"AntWeb","0.6.1","2014-03-13 00:34:52","2014-03-15","2014-08-15","R (>= 3.0.1)","rjson, plyr, assertthat, httr, leafletR (>= 0.1-1)","CC0",
"AntWeb","0.7","2014-08-14 00:40:15","2014-08-16","2015-04-20","R (>= 3.0.1)","rjson, plyr, assertthat, httr, leafletR (>= 0.1-1)","CC0",
"AnthropMMD","0.9.5","2013-07-26 10:49:14","2013-09-03","2013-12-20","R (>= 2.4.1), tcltk",,"GPL (>= 2)",
"AnthropMMD","0.9.7","2013-12-18 14:27:40","2013-12-21","2014-01-31","R (>= 2.4.1), tcltk2",,"GPL (>= 2)",
"AnthropMMD","0.9.8","2014-01-29 18:47:06","2014-02-01","2014-04-21","R (>= 2.4.1), tcltk2",,"GPL (>= 2)",
"AnthropMMD","0.9.9","2014-04-18 11:25:49","2014-04-22","2015-04-20","R (>= 3.0.1), tcltk, tcltk2",,"GPL (>= 2)",
"Anthropometry","1.0","2014-03-07 09:41:06","2014-03-11","2014-11-03","R (>= 3.0.0)","shapes, rgl, archetypes, nnls, depth, FNN, ICGE, cluster","GPL (>= 2)","knitr, biclust, calibrate, mvtnorm, SportsAnalytics, RColorBrewer, plotrix, abind"
"Anthropometry","1.1","2014-10-13 21:57:44","2014-11-04","2015-04-20","R (>= 3.0.0)","shapes, rgl, archetypes, nnls, depth, FNN, ICGE, cluster, biclust","GPL (>= 2)","knitr, calibrate, mvtnorm, SportsAnalytics, RColorBrewer, plotrix, abind"
"AppliedPredictiveModeling","1.1-1","2013-05-30 07:31:35","2013-09-03","2013-11-01","R (>= 2.10), CORElearn, MASS, plyr, reshape2",,"GPL","caret, lattice, ellipse"
"AppliedPredictiveModeling","1.1-4","2013-10-31 20:59:07","2013-11-02","2014-02-07","R (>= 2.10), CORElearn, MASS, plyr, reshape2",,"GPL","caret, lattice, ellipse"
"AppliedPredictiveModeling","1.1-5","2014-02-03 23:51:41","2014-02-08","2014-07-28","R (>= 2.10)","CORElearn, MASS, plyr, reshape2","GPL","caret (>= 6.0-22), lattice, ellipse"
"AppliedPredictiveModeling","1.1-6","2014-07-25 18:42:25","2014-07-29","2015-04-20","R (>= 2.10)","CORElearn, MASS, plyr, reshape2","GPL","caret (>= 6.0-22), lattice, ellipse"
"AquaEnv","1.0-3","2012-08-08 11:45:41","2013-09-03","2015-04-20","minpack.lm, deSolve",,"GPL (>= 2)",
"ArDec","2.0","2013-05-10 10:03:29","2013-09-03","2015-04-20",,,"GPL (>= 2)",
"ArfimaMLM","1.3","2015-01-21 07:09:05","2015-01-24","2015-04-20","R (>= 3.0.0), lme4, fractal","fracdiff","GPL (>= 2)",
"ArrayBin","0.2","2013-06-21 11:34:44","2013-09-03","2015-04-20","R (>= 2.15.0), SAGx",,"GPL (>= 2)",
"AssetPricing","0.1-0","2013-08-13 07:05:52","2013-09-03","2014-01-29","R (>= 0.99), polynom, deSolve",,"GPL (>= 2)",
"AssetPricing","0.1-2","2014-01-27 22:40:12","2014-01-30","2014-03-07","R (>= 0.99)","polynom, deSolve","GPL (>= 2)",
"AssetPricing","0.1-3","2014-03-05 06:08:57","2014-03-08","2014-06-16","R (>= 0.99)","polynom, deSolve","GPL (>= 2)",
"AssetPricing","1.0-0","2014-06-13 06:17:14","2014-06-17","2015-04-20","R (>= 0.99)","polynom, deSolve","GPL (>= 2)",
"AssotesteR","0.1-10","2013-12-19 00:09:17","2013-12-21","2015-04-20","mvtnorm",,"GPL (>= 3)",
"AssotesteR","0.1-7","2012-09-18 08:23:59","2013-09-03","2013-12-20","mvtnorm",,"GPL (>= 3)",
"AsynchLong","1.0","2015-02-22 20:54:56","2015-02-24","2015-04-20","compiler, parallel",,"GPL-2",
"AtelieR","0.23","2012-11-22 10:53:17","2013-09-03","2013-09-23","R (>= 2.10), proto, cairoDevice, gWidgetsRGtk2, partitions",,"GPL (>= 2)",
"AtelieR","0.24","2013-09-22 12:47:10","2013-09-24","2015-04-20","R (>= 2.10), proto, cairoDevice, gWidgetsRGtk2, partitions",,"GPL (>= 2)",
"AtmRay","1.31","2013-03-01 22:39:57","2013-09-03","2015-04-20",,,"GPL","RSEIS"
"AutoSEARCH","1.2","2012-10-11 20:58:31","2013-09-03","2014-11-03","R (>= 2.4.1), zoo",,"GPL-2",
"AutoSEARCH","1.3","2014-10-22 18:20:55","2014-11-04","2014-12-24","R (>= 2.4.1), zoo, gets, lgarch",,"GPL-2",
"AutoSEARCH","1.4","2014-12-22 13:42:27","2014-12-25","2015-03-30","R (>= 2.4.1), zoo, gets, lgarch",,"GPL-2",
"AutoSEARCH","1.5","2015-03-27 23:49:41","2015-03-31","2015-04-20","R (>= 2.4.1), zoo, lgarch",,"GPL-2",
"B2Z","1.4","2011-07-18 20:37:41","2013-09-03","2015-04-20","numDeriv, coda, mvtnorm",,"GPL-2",
"BACA","0.99.0","2015-01-10 17:04:41","2015-01-13","2015-04-20","R (>= 3.0.0)","RDAVIDWebService, ggplot2, rJava","GPL (>= 2)","knitr"
"BACCO","2.0-9","2013-12-12 21:19:28","2013-12-14","2015-04-20","emulator (>= 1.2-13), calibrator (>= 1.2-5), approximator (>= 1.2-6)",,"GPL",
"BACprior","1.2.1","2013-02-16 09:07:25","2013-09-03","2014-11-21","mvtnorm, leaps",,"GPL (>= 2)",
"BACprior","2.0","2014-11-20 17:34:37","2014-11-22","2015-04-20","mvtnorm, leaps, boot",,"GPL (>= 2)",
"BAEssd","1.0.1","2012-11-17 17:22:00","2013-09-03","2015-04-20","mvtnorm",,"GPL-2",
"BAMMtools","1.0","2014-03-05 16:41:57","2014-03-08","2014-03-10","ape",,"GPL (>= 2)",
"BAMMtools","1.0.1","2014-03-07 13:52:00","2014-03-11","2014-07-11","ape",,"GPL (>= 2)",
"BAMMtools","2.0.2","2014-07-10 05:11:27","2014-07-12","2015-03-20","ape",,"GPL (>= 2)",
"BAMMtools","2.0.4","2015-03-18 17:52:44","2015-03-21","2015-03-25","ape",,"GPL (>= 2)","parallel"
"BAMMtools","2.0.5","2015-03-23 13:51:32","2015-03-26","2015-04-20","ape",,"GPL (>= 2)","parallel"
"BANFF","0.1","2014-12-29 17:51:00","2015-01-01","2015-01-09","foreach, doParallel","DPpackage, igraph, mclust, pscl, tmvtnorm, network","GPL-2",
"BANFF","0.2","2015-01-08 12:20:03","2015-01-10","2015-02-18","foreach, doParallel","DPpackage, igraph, mclust, pscl, tmvtnorm, network","GPL-2",
"BANFF","0.3","2015-02-16 17:58:51","2015-02-19","2015-04-20","R (>= 3.0.3), foreach, doParallel","DPpackage, igraph, mclust, pscl, tmvtnorm, network, coda","GPL-2",
"BANOVA","0.2","2014-06-29 09:59:05","2014-07-01","2015-04-20","R (>= 3.0.1), rjags(>= 3-13), runjags (>= 1.2.1-0), coda (>= 0.16-1)",,"GPL (>= 2)",
"BAS","1.0","2012-06-01 06:41:53","2013-09-03","2015-02-09","R (>= 2.15), stats, MASS","stats","GPL (>= 2)",
"BASIX","1.0","2013-10-07 18:20:27","2013-10-10","2013-10-25","R (>= 2.14.2), methods",,"GPL-2",
"BASIX","1.1","2013-10-24 15:02:34","2013-10-26","2015-04-20","R (>= 2.14.2), methods",,"GPL-2",
"BAT","1.0","2014-08-19 13:42:17","2014-08-21","2014-11-03","R (>= 3.0.0), vegan",,"GPL-3",
