,Package,Version,License,Depends,Imports,Suggests,BiocCategory,BiocVersion,BiocDate
14,clippda,1.0.0,GPL (>=2),"R (>= 2.10.0),limma,statmod,scatterplot3d, graphics, grDevices, stats, utils,Biobase, tools, methods",,,Software,2.5,2009-10-28
15,Biobase,2.6.1,Artistic-2.0,"R (>= 2.7.0), methods, utils",,"tools,tkWidgets,ALL",Software,2.5,2009-10-28
16,TargetSearch,1.2.0,GPL (>= 2),"R (>= 2.7.0),xcms, methods, tcltk",methods,TargetSearchData,Software,2.5,2009-10-28
17,SIM,1.14.0,GPL (>= 2),"R (>= 2.4),quantreg","graphics, stats,globaltest,quantsmooth","biomaRt,RMySQL",Software,2.5,2009-10-28
18,MCRestimate,2.2.0,GPL (>= 2),"R (>= 2.7.2),e1071(>= 1.5-12),pamr(>= 1.22),randomForest(>= 3.9-6),RColorBrewer(>= 0.1-3),Biobase(>= 2.5.5),golubEsets(>= 1.4.6)",,"xtable(>= 1.2-1),ROC(>= 1.8.0),genefilter(>= 1.12.0),gpls(>= 1.6.0)",Software,2.5,2009-10-28
19,affxparser,1.18.0,LGPL (>= 2),R (>= 2.6.0),,"R.utils,AffymetrixDataTestFiles",Software,2.5,2009-10-28
20,affyQCReport,1.24.0,LGPL (>= 2),"Biobase(>= 1.13.16),affy,simpleaffy,xtable,affyPLM,RColorBrewer,genefilter,lattice",,"tkWidgets(>= 1.5.23),affydata(>= 1.4.1)",Software,2.5,2009-10-28
21,MiPP,1.18.0,GPL (>= 2),"R (>= 2.4),Biobase,e1071,MASS",,,Software,2.5,2009-10-28
22,BicARE,1.4.0,GPL,"R (>= 1.8.0),Biobase(>= 2.5.5),multtest,GSEABase",,,Software,2.5,2009-10-28
23,tspair,1.4.0,GPL,"R (>= 2.2.1),Biobase(>= 2.5.5), time",,,Software,2.5,2009-10-28
24,Starr,1.2.11,Artistic-2.0,"Ringo,affy,affxparser","pspline,MASS",,Software,2.5,2009-10-28
25,ssize,1.20.0,LGPL,"gdata,xtable",,,Software,2.5,2009-10-28
26,rbsurv,2.4.0,GPL (>= 2),"R (>= 2.5.0),Biobase(>= 2.5.5),survival",,,Software,2.5,2009-10-28
27,MVCClass,1.20.0,LGPL,"R (>= 2.1.0), methods",,,Software,2.5,2009-10-28
28,copa,1.14.0,Artistic-2.0,"Biobase, methods",,colonCA,Software,2.5,2009-10-28
29,beadarraySNP,1.12.0,GPL-2,"methods,Biobase(>= 2.5.5),quantsmooth",,"aCGH,affy,limma,snapCGH,beadarray,DNAcopy",Software,2.5,2009-10-28
30,HilbertVisGUI,1.4.0,GPL (>= 3),"R (>= 2.6.0),HilbertVis(>= 1.1.6)",,"lattice,IRanges",Software,2.5,2009-10-28
31,dualKS,1.6.0,LGPL (>= 2.0),"R (>= 2.6.0),Biobase(>= 1.15.0),affy, methods",,,Software,2.5,2009-10-28
32,factDesign,1.22.0,LGPL,Biobase(>= 2.5.5),"genefilter, stats",affy,Software,2.5,2009-10-28
33,ChIPseqR,1.0.0,GPL (>= 2),"R (>= 2.10.0),ShortRead, methods","Biostrings,BSgenome,fBasics, graphics, grDevices,HilbertVis,IRanges, methods,ShortRead, stats,timsac, utils",,Software,2.5,2009-10-28
34,CALIB,1.12.0,LGPL,"R (>= 2.6.0),limma, methods",,,Software,2.5,2009-10-28
35,flowCore,1.12.0,Artistic-2.0,"R (>= 2.8.1),Biobase,rrcov","Biobase,feature,graph, graphics, grDevices,MASS, methods,rrcov, stats, utils","Rgraphviz,flowViz,ncdf",Software,2.5,2009-10-28
36,BSgenome,1.14.2,Artistic-2.0,"R (>= 2.7.0), methods,IRanges(>= 1.3.79),Biostrings(>= 2.14.5)",,"BSgenome.Celegans.UCSC.ce2(>= 1.3.11),BSgenome.Hsapiens.UCSC.hg18(>= 1.3.11),SNPlocs.Hsapiens.dbSNP.20071016,hgu95av2probe,Biobase",Software,2.5,2009-10-28
37,SBMLR,1.40.0,GPL-2,"XML,odesolve",,,Software,2.5,2009-10-28
38,fdrame,1.18.0,GPL (>= 2),tcltk,,,Software,2.5,2009-10-28
39,timecourse,1.18.0,LGPL,"R (>= 2.1.1),limma(>= 1.8.6),MASS,Biobase, methods",,,Software,2.5,2009-10-28
40,sigPathway,1.14.0,GPL-2,R (>= 2.0.0),,"hgu133a.db(>= 1.10.0),XML(>= 1.6-3),AnnotationDbi(>= 1.3.12)",Software,2.5,2009-10-28
41,plw,1.6.0,GPL,"MASS,affy(>= 1.23.4), splines",,limma,Software,2.5,2009-10-28
42,methylumi,1.0.0,GPL-2,"R (>= 2.9),Biobase, methods","Biobase, graphics,lattice","lattice,limma,xtable",Software,2.5,2009-10-28
43,mdqc,1.8.0,LGPL (>= 2),"R (>= 2.2.1),cluster,MASS",,,Software,2.5,2009-10-28
44,twilight,1.22.0,GPL (>= 2),"R (>= 2.1.0), splines (>= 2.2.0), stats (>= 2.2.0), Biobase(>= 1.12.0)",,"golubEsets(>= 1.4.2),vsn(>= 1.7.2)",Software,2.5,2009-10-28
45,Rdbi,1.20.0,GPL,R (>= 1.2),,,Software,2.5,2009-10-28
46,preprocessCore,1.8.0,LGPL (>= 2),methods,,,Software,2.5,2009-10-28
47,ontoTools,1.24.0,GPL-2,"R (>= 2.4.0), methods,graph,Biobase(>= 2.5.5),AnnotationDbi,SparseM,GO.db,annotate",,"combinat,Iyer517,org.Hs.eg.db,KEGG.db",Software,2.5,2009-10-28
48,annotate,1.24.1,Artistic-2.0,"R (>= 2.4.0),AnnotationDbi(>= 0.1.15)","Biobase,AnnotationDbi,xtable, graphics, utils, stats, methods","Biobase,hgu95av2.db,genefilter,Biostrings(>= 2.4.4),rae230a.db,rae230aprobe,tkWidgets,XML(>= 0.92-2),GO.db,org.Hs.eg.db,org.Mm.eg.db,hom.Hs.inp.db",Software,2.5,2009-10-28
49,GOSemSim,1.4.0,GPL-2,"AnnotationDbi,GO.db,org.Hs.eg.db,org.Dm.eg.db,org.Mm.eg.db,org.Rn.eg.db,org.Sc.sgd.db",,,Software,2.5,2009-10-28
50,biomaRt,2.2.0,Artistic-2.0,methods,"XML,RCurl",annotate,Software,2.5,2009-10-28
51,GeneAnswers,1.2.0,LGPL (>= 2),"R (>= 2.8.0),igraph,RCurl,annotate,Biobase(>= 1.12.0), methods,XML,RSQLite,MASS",,"GO.db,KEGG.db,biomaRt,AnnotationDbi,org.Hs.eg.db,org.Rn.eg.db,org.Mm.eg.db,org.Dm.eg.db,Heatplus,RColorBrewer",Software,2.5,2009-10-28
52,RbcBook1,1.14.0,Artistic-2.0,"Biobase,graph",,,Software,2.5,2009-10-28
53,PROcess,1.22.0,Artistic-2.0,Icens,,,Software,2.5,2009-10-28
54,BufferedMatrix,1.10.0,LGPL (>= 2),"R (>= 2.6.0), methods",,,Software,2.5,2009-10-28
55,metahdep,1.4.0,GPL-3,methods,,affyPLM,Software,2.5,2009-10-28
56,maDB,1.18.0,LGPL (>= 2),"R (>= 2.6.0),Biobase(>= 2.5.5),affy(>= 1.23.4),pgUtils(>= 1.5.0),limma(>= 1.8.0), methods",,"annaffy(>= 1.6.2),biomaRt(>= 1.8.2),geneplotter",Software,2.5,2009-10-28
57,multiscan,1.6.0,GPL (>= 2),R (>= 2.3.0),"Biobase, utils",,Software,2.5,2009-10-28
58,GraphAlignment,1.8.0,file LICENSE,,,,Software,2.5,2009-10-28
59,CNTools,1.2.0,LGPL,"methods, stats,genefilter",,,Software,2.5,2009-10-28
60,ArrayTools,1.6.0,LGPL (>= 2.0),"R (>= 2.7.0),affy(>= 1.23.4),Biobase(>= 2.5.5), methods","affy,Biobase, graphics, grDevices,limma, methods, stats, utils,xtable","simpleaffy,R2HTML,affydata,affyPLM,genefilter,annaffy,gcrma,hugene10sttranscriptcluster.db",Software,2.5,2009-10-28
61,aCGH,1.22.0,GPL,"R (>= 1.8.0),cluster,survival,multtest","Biobase,cluster, grDevices, graphics, methods,multtest, stats,survival, splines, utils",,Software,2.5,2009-10-28
62,tilingArray,1.24.0,Artistic-2.0,"Biobase, methods,pixmap","strucchange,affy,vsn,genefilter,RColorBrewer, grid",,Software,2.5,2009-10-28
63,DAVIDQuery,1.4.0,GPL-2,,"RCurl, utils",,Software,2.5,2009-10-28
64,hexbin,1.20.0,GPL-2,"R (>= 2.0.1), methods, stats, grid,lattice",,"marray,cluster,affy,Biobase",Software,2.5,2009-10-28
65,fbat,1.10.0,LGPL,"MASS,GeneticsBase",,,Software,2.5,2009-10-28
66,puma,1.12.0,LGPL,"R (>= 2.6.0),Biobase(>= 2.5.5),affy(>= 1.23.4), graphics, grDevices, methods, stats, utils","Biobase(>= 2.5.5),affy(>= 1.23.4)","pumadata,affydata,snow,limma,annotate,ROCR",Software,2.5,2009-10-28
67,MEDME,1.6.0,GPL (>= 2),"grDevices, graphics, methods, stats, utils","Biostrings,MASS,drc","BSgenome.Hsapiens.UCSC.hg18,BSgenome.Mmusculus.UCSC.mm9",Software,2.5,2009-10-28
68,GeneSpring,2.20.0,GPL,"R (>= 2.0.1),Biobase(>= 1.5.0), methods",,,Software,2.5,2009-10-28
69,LMGene,1.16.0,LGPL,"R (>= 2.0.0),Biobase(>= 2.5.5),multtest,survival",,,Software,2.5,2009-10-28
70,maCorrPlot,1.16.0,GPL (>= 2),lattice,,,Software,2.5,2009-10-28
71,flowMerge,1.0.0,Artistic-2.0,"flowClust,flowCore, methods,mclust,snow","rrcov,flowClust,flowCore, graphics, methods,rrcov, stats, utils",,Software,2.5,2009-10-28
72,GraphAT,1.18.0,LGPL,"MCMCpack,graph",,,Software,2.5,2009-10-28
73,SJava,0.72.0,GPL (>= 2),"R (>= 2.10.0), methods",,,Software,2.5,2009-10-28
74,oneChannelGUI,1.12.5,"The Artistic License, Version 2.0","Biobase,affylmGUI,tkWidgets,GOstats,AnnotationDbi,preprocessCore",,"annotate,genefilter,maSigPro,pamr,pdmclass,Rgraphviz,affy,annaffy,affyPLM,multtest,ssize,sizepower,siggenes,RankProd,org.Hs.eg.db,org.Mm.eg.db,org.Rn.eg.db,metaArray,MergeMaid,biomaRt,GenomeGraphs,AffyCompatible,Biostrings,IRanges,rtracklayer,hugene10sttranscriptcluster.db,mogene10sttranscriptcluster.db,ragene10sttranscriptcluster.db",Software,2.5,2009-10-28
75,BioSeqClass,1.0.0,LGPL (>= 2.0),,"Biostrings,ipred,e1071,klaR,randomForest,class,tree,nnet,rpart,party,foreign,Biobase, utils, stats, grDevices",,Software,2.5,2009-10-28
76,Rredland,1.12.0,LGPL-2.1,"R (>= 2.6.0), methods,graph",,,Software,2.5,2009-10-28
77,qpgraph,1.2.0,GPL (>= 2),"methods,Biobase(>= 2.5.5),AnnotationDbi","methods,Biobase(>= 2.5.5),AnnotationDbi","mvtnorm,graph,Rgraphviz,annotate,genefilter,Category(>= 2.9.7),org.EcK12.eg.db(>= 2.2.6),GOstats",Software,2.5,2009-10-28
78,pcaMethods,1.24.0,GPL (>= 2),"Biobase,MASS,pls, methods",,aroma.light,Software,2.5,2009-10-28
79,goTools,1.20.0,GPL-2,GO.db,,hgu133a.db,Software,2.5,2009-10-28
80,graph,1.24.4,Artistic-2.0,"R (>= 2.6.0), methods","methods, stats, tools, utils","SparseM(>= 0.36),XML,RBGL",Software,2.5,2009-10-28
81,MassSpecWavelet,1.12.0,LGPL (>= 2),waveslim,,"xcms,caTools",Software,2.5,2009-10-28
82,cosmoGUI,1.12.0,LGPL (>= 2),"tkWidgets,cosmo",,,Software,2.5,2009-10-28
83,arrayQualityMetrics,2.4.3,LGPL (>= 2),affyPLM,"Biobase,RColorBrewer,affy,beadarray,genefilter, grDevices, graphics,hwriter,lattice,latticeExtra,limma,marray, methods,simpleaffy, stats, stats4, utils,vsn","ALLMLL,CCl4",Software,2.5,2009-10-28
84,xmapbridge,1.4.0,LGPL-3,"R (>= 2.0), methods",,,Software,2.5,2009-10-28
85,marray,1.24.0,LGPL,"R (>= 1.9.0),limma, methods",,tkWidgets,Software,2.5,2009-10-28
86,LPE,1.20.0,LGPL,stats,"grDevices, methods, stats, utils",,Software,2.5,2009-10-28
87,DynDoc,1.24.0,Artistic-2.0,"methods, utils",methods,,Software,2.5,2009-10-28
88,SPIA,1.4.0,GPL (>= 2),"R (>= 2.8.0), graphics,RCurl","graphics,RCurl","graph,Rgraphviz,KEGGgraph",Software,2.5,2009-10-28
89,RNAither,1.6.1,Artistic-2.0,"R (>= 2.7.0),topGO,RankProd,prada","geneplotter,limma,biomaRt",,Software,2.5,2009-10-28
90,PLPE,1.6.0,GPL (>= 2),"R (>= 2.6.2),Biobase(>= 2.5.5),LPE,MASS, methods",,,Software,2.5,2009-10-28
91,apComplex,2.12.0,LGPL,"graph,RBGL","Rgraphviz, stats,org.Sc.sgd.db",,Software,2.5,2009-10-28
92,macat,1.20.0,Artistic-2.0,"Biobase,annotate",,"hgu95av2.db,stjudem",Software,2.5,2009-10-28
93,EBImage,3.2.0,Artistic-2.0,"R (>= 2.4.0), methods, graphics, stats, utils,abind",,,Software,2.5,2009-10-28
94,simpleaffy,2.22.0,GPL (>= 2),"R (>= 2.0.0),affy,genefilter,Biobase, methods, utils,gcrma","affy,Biobase,gcrma,genefilter, graphics, grDevices, methods, stats, utils",,Software,2.5,2009-10-28
95,GenomeGraphs,1.6.0,Artistic-2.0,"methods,biomaRt, grid",,,Software,2.5,2009-10-28
96,clusterStab,1.18.0,Artistic-2.0,"Biobase(>= 1.4.22), R (>= 1.9.0), methods",,"fibroEset,genefilter",Software,2.5,2009-10-28
97,pamr,1.44.0,GPL-2,"cluster,survival",,,Software,2.5,2009-10-28
98,HELP,1.4.0,GPL (>= 2),"R (>= 2.8.0), stats, graphics, grDevices,Biobase, methods",,,Software,2.5,2009-10-28
99,XDE,1.6.0,LGPL-2,"R (>= 2.9.0),Biobase(>= 2.5.5), methods, graphics","genefilter,gtools","MergeMaid,siggenes,genefilter,MASS,RColorBrewer,GeneMeta",Software,2.5,2009-10-28
100,weaver,1.12.0,GPL-2,"R (>= 2.5.0),digest, tools, utils,codetools",,codetools,Software,2.5,2009-10-28
101,ScISI,1.18.0,LGPL,"GO.db,RpsiXML,annotate,apComplex","AnnotationDbi,GO.db,RpsiXML,annotate, methods,org.Sc.sgd.db, utils","ppiData,xtable",Software,2.5,2009-10-28
102,BUS,1.2.0,GPL-3,"R (>= 2.3.0),minet",,,Software,2.5,2009-10-28
103,iterativeBMA,1.4.0,GPL (>= 2),"BMA,leaps,Biobase(>= 2.5.5)",,,Software,2.5,2009-10-28
104,rtracklayer,1.6.0,Artistic-2.0,"R (>= 2.7.0), methods,RCurl","XML(>= 1.98-0),IRanges(>= 1.3.50),Biostrings(>= 2.11.14),BSgenome(>= 1.13.10)","humanStemCell,microRNA(>= 1.1.1),genefilter,limma,org.Hs.eg.db,BSgenome.Hsapiens.UCSC.hg18",Software,2.5,2009-10-28
105,ACME,2.2.0,GPL (>= 2),"Biobase(>= 2.5.5), methods","graphics, stats",,Software,2.5,2009-10-28
106,diffGeneAnalysis,1.28.0,GPL,minpack.lm(>= 1.0-4),,,Software,2.5,2009-10-28
107,edgeR,1.4.7,LGPL (>= 2),"R (>= 2.3.0), methods",limma,MASS,Software,2.5,2009-10-28
108,affyContam,1.4.0,Artistic-2.0,"R (>= 2.7.0), tools, methods, utils,Biobase,affy,affydata",,,Software,2.5,2009-10-28
109,seqLogo,1.12.0,LGPL (>= 2),"methods, grid",,,Software,2.5,2009-10-28
110,RPA,1.2.0,GPL (>= 2),"R (>= 2.10.0),affy,affydata, methods",,,Software,2.5,2009-10-28
111,rMAT,2.2.1,Artistic-2.0,"R(>= 2.9.0),IRanges","Biobase(>= 2.5.5),affxparser, methods,IRanges","GenomeGraphs,rtracklayer",Software,2.5,2009-10-28
112,BAC,1.6.0,Artistic-2.0,R(>= 2.6.0),,,Software,2.5,2009-10-28
113,hypergraph,1.18.0,Artistic-2.0,"R (>= 2.1.0), methods,graph",,,Software,2.5,2009-10-28
114,limmaGUI,1.22.0,LGPL,"limma, tcltk",,"statmod,R2HTML,xtable,tkrplot",Software,2.5,2009-10-28
115,SAGx,1.20.0,LGPL,"R (>= 2.5.0), stats,multtest, methods",Biobase,"KEGG.db,hu6800.db",Software,2.5,2009-10-28
116,annotationTools,1.18.0,GPL,Biobase,,,Software,2.5,2009-10-28
117,AnnotationDbi,1.8.2,Artistic-2.0,"R (>= 2.7.0), methods, utils,Biobase(>= 1.17.0)","methods, utils,Biobase,DBI,RSQLite","DBI(>= 0.2-4),RSQLite(>= 0.6-4),hgu95av2.db,GO.db,human.db0,hgu95av2cdf,affy,KEGG.db",Software,2.5,2009-10-28
118,Category,2.12.1,Artistic-2.0,"AnnotationDbi(>= 0.1.15),Biobase(>= 1.15.29)","graph, methods,Biobase(>= 1.15.29),AnnotationDbi(>= 0.1.15),RBGL,GSEABase,genefilter,annotate(>= 1.15.6), stats, utils","EBarrays,ALL,Rgraphviz,RColorBrewer,xtable(>= 1.4-6),hgu95av2.db,Matrix,KEGG.db,GO.db,SNPchip,geneplotter,limma,lattice,graph,Biobase,genefilter, methods",Software,2.5,2009-10-28
119,gcrma,2.18.1,LGPL,"R (>= 2.6.0),affy(>= 1.23.2), graphics, methods, stats, utils","Biobase,affy(>= 1.23.2),affyio(>= 1.13.3),Biostrings(>= 2.11.32), splines","affydata,matchprobes, tools, splines",Software,2.5,2009-10-28
120,pdmclass,1.18.0,Artistic-2.0,"Biobase(>= 1.4.22), R (>= 1.9.0),fibroEset,mda",,,Software,2.5,2009-10-28
121,made4,1.20.0,Artistic-2.0,"ade4,RColorBrewer,gplots,scatterplot3d",,affy,Software,2.5,2009-10-28
122,daMA,1.18.0,GPL (>= 2),MASS,,,Software,2.5,2009-10-28
123,affycoretools,1.18.0,Artistic-2.0,"affy,Biobase,GO.db,KEGG.db","biomaRt,limma,GOstats,annotate,annaffy,genefilter,gcrma, splines,xtable,AnnotationDbi","affydata,hgfocuscdf",Software,2.5,2009-10-28
124,ddCt,1.0.0,LGPL-3,"R (>= 2.3.0),Biobase(>= 1.10.0),RColorBrewer(>= 0.1-3),xtable,lattice, methods",,,Software,2.5,2009-10-28
125,CGHregions,1.4.0,GPL,"R (>= 2.0.0), methods,Biobase,CGHbase",,,Software,2.5,2009-10-28
126,RWebServices,1.10.1,file LICENSE,"SJava(>= 0.69-4),TypeInfo, methods, tools (>= 2.10.0), R (>= 2.5.0)",RCurl,,Software,2.5,2009-10-28
127,qpcrNorm,1.4.0,LGPL (>= 2),"methods,limma,affy,Biobase",,,Software,2.5,2009-10-28
128,pathRender,1.14.0,LGPL,"graph,Rgraphviz,RColorBrewer,cMAP,AnnotationDbi, methods",,"ALL,hgu95av2.db",Software,2.5,2009-10-28
129,AgiMicroRna,1.0.0,GPL-3,"R (>= 2.9.0),Biobase,limma,affy(>= 1.22),preprocessCore",Biobase,"affycoretools,geneplotter,marray,gplots,gtools,gdata,codelink",Software,2.5,2009-10-28
130,CGHnormaliter,1.0.1,GPL (>= 3),"CGHcall(>= 2.2.0),CGHbase(>= 1.2.0)","Biobase,CGHbase,CGHcall, methods, stats, utils",,Software,2.5,2009-10-28
131,aroma.light,1.14.0,LGPL,R.methodsS3,,"R.oo,R.utils,princurve",Software,2.5,2009-10-28
132,HEM,1.18.0,GPL (>= 2),"R (>= 2.1.0),Biobase",,,Software,2.5,2009-10-28
133,affypdnn,1.20.0,LGPL,"R (>= 2.3.0),affy(>= 1.5)",,"affydata,hgu95av2probe",Software,2.5,2009-10-28
134,Genominator,1.0.3,Artistic-2.0,"methods,RSQLite,DBI(>= 0.2-5)","graphics, methods, stats, utils","biomaRt,GenomeGraphs,ShortRead,yeastRNASeq",Software,2.5,2009-10-28
135,affycomp,1.22.1,GPL (>= 2),"R (>= 2.9.0), methods,Biobase(>= 2.3.3)",,splines,Software,2.5,2009-10-28
136,GeneR,2.16.0,CeCILL-2.0,R (>= 2.6.0),,,Software,2.5,2009-10-28
137,sizepower,1.16.0,LGPL,stats,,,Software,2.5,2009-10-28
138,Rmagpie,1.2.0,GPL (>= 3),"R (>= 2.6.1),Biobase(>= 2.5.5)","Biobase(>= 2.5.5),e1071, graphics, grDevices,kernlab, methods,pamr, stats, utils",xtable,Software,2.5,2009-10-28
139,MiChip,1.0.0,GPL (>= 2),"R (>= 2.3.0),Biobase",Biobase,,Software,2.5,2009-10-28
140,edd,1.24.0,LGPL,"methods,golubEsets,Biobase,class,nnet,xtable",,,Software,2.5,2009-10-28
141,Icens,1.18.0,Artistic-2.0,survival,,,Software,2.5,2009-10-28
142,stepNorm,1.18.0,LGPL,"R (>= 1.8.0),marray,MASS, methods",,,Software,2.5,2009-10-28
143,limma,3.2.3,LGPL,"R (>= 2.3.0), methods",,"affy,marray,MASS,org.Hs.eg.db, splines,statmod(>= 1.2.2),vsn",Software,2.5,2009-10-28
144,iterativeBMAsurv,1.4.0,GPL (>= 2),"BMA,leaps,survival, splines",,,Software,2.5,2009-10-28
145,Mfuzz,2.4.0,GPL-2,"R (>= 2.5.0),Biobase(>= 2.5.5),e1071","tcltk,tkWidgets",marray,Software,2.5,2009-10-28
146,Agi4x44PreProcess,1.6.0,GPL-3,"R (>= 2.6.0),Biobase,limma,annotate,genefilter",,"vsn,affycoretools,hgug4112a.db,GO.db,marray,gplots,gtools,gdata",Software,2.5,2009-10-28
147,nudge,1.12.0,GPL,stats,,,Software,2.5,2009-10-28
148,siggenes,1.20.0,LGPL (>= 2),"methods,multtest,Biobase, splines",,"affy,annotate,genefilter,KernSmooth,scrime(>= 1.1.2)",Software,2.5,2009-10-28
149,pkgDepTools,1.12.0,GPL-2,"methods,graph,RBGL","graph,RBGL","Biobase,Rgraphviz,RCurl",Software,2.5,2009-10-28
150,nem,2.10.0,GPL (>= 2),"R (>= 2.0),e1071(>= 1.5),graph(>= 1.10),Rgraphviz(>= 1.10),plotrix","boot,e1071,graph, graphics, grDevices, methods,RBGL(>= 1.8.1),RColorBrewer,Rgraphviz, stats, utils",Biobase(>= 1.10),Software,2.5,2009-10-28
151,genomeIntervals,1.2.0,Artistic-2.0,"R (>= 2.8.0),intervals(>= 0.12.2),Biobase, methods",,,Software,2.5,2009-10-28
152,GeneRegionScan,1.2.0,GPL (>= 2),"methods,Biobase(>= 2.5.5),Biostrings","Biobase(>= 2.5.5),affxparser,RColorBrewer,Biostrings","BSgenome,affy,AnnotationDbi",Software,2.5,2009-10-28
153,GeneMeta,1.18.0,Artistic-2.0,"R (>= 2.5.0), methods,Biobase(>= 2.5.5),genefilter","methods,Biobase(>= 2.5.5)",,Software,2.5,2009-10-28
154,betr,1.2.1,LGPL,R(>= 2.6.0),"Biobase(>= 2.5.5),limma,mvtnorm, methods, stats",Biobase,Software,2.5,2009-10-28
155,maSigPro,1.18.0,GPL (>= 2),"R (>= 2.3.1), stats,Biobase","Biobase, graphics, grDevices,limma,Mfuzz, stats, utils",,Software,2.5,2009-10-28
156,ChemmineR,1.6.0,GPL (>= 2),,,,Software,2.5,2009-10-28
157,gaga,1.6.0,GPL (>= 2),"R (>= 2.5.0),Biobase,coda",,,Software,2.5,2009-10-28
158,biocDatasets,1.2.0,GPL-3,"R (>= 2.8.0),IRanges","stats,Biostrings,IRanges",Biobase,Software,2.5,2009-10-28
159,globaltest,5.0.2,GPL (>= 2),methods,"Biobase(>= 2.5.5),survival,AnnotationDbi,annotate,multtest, graphics","vsn,golubEsets,KEGG.db,hu6800.db,Rgraphviz,GO.db,lungExpression,org.Hs.eg.db,annotate,Biobase(>= 2.5.5),survival,GSEABase",Software,2.5,2009-10-28
160,Rdisop,1.6.0,GPL,R (>= 2.0.0),,,Software,2.5,2009-10-28
161,occugene,1.6.0,GPL (>= 2),R (>= 2.0.0),,,Software,2.5,2009-10-28
162,geneplotter,1.24.0,Artistic-2.0,"Biobase(>= 2.5.5),annotate,lattice","annotate,AnnotationDbi,Biobase(>= 2.5.5), graphics, grDevices, grid, methods,RColorBrewer, stats, utils","Biobase(>= 2.5.5),Rgraphviz,annotate,fibroEset,hgu95av2.db,hu6800.db,hgu133a.db",Software,2.5,2009-10-28
163,goProfiles,1.8.0,GPL,"Biobase,AnnotationDbi,GO.db",,org.Hs.eg.db,Software,2.5,2009-10-28
164,cellHTS,1.16.0,Artistic-2.0,"R (>= 2.5.0),prada(>= 1.9.4),RColorBrewer,Biobase(>= 1.11.12),genefilter(>= 1.11.2)",,"Category,GO.db,vsn(>= 2.0.35)",Software,2.5,2009-10-28
165,GSEABase,1.8.0,Artistic-2.0,"R (>= 2.6.0),Biobase,annotate, methods,graph","annotate,AnnotationDbi,Biobase,graph, methods,XML","Ruuid,hgu95av2.db,GO.db,org.Hs.eg.db",Software,2.5,2009-10-28
166,CORREP,1.12.0,GPL (>= 2),e1071,,cluster,Software,2.5,2009-10-28
167,BGmix,1.6.0,GPL,"R (>= 2.3.1),KernSmooth",,,Software,2.5,2009-10-28
168,Ruuid,1.24.0,Artistic-2.0,"R (>= 2.6.0), methods",methods,,Software,2.5,2009-10-28
169,explorase,1.10.0,GPL,R (>= 2.6.2),"limma,rggobi,RGtk2",cairoDevice,Software,2.5,2009-10-28
