,biocViews,Enhances,LinkingTo,License,URL,Imports,Suggests Me,Build Report,Suggests,Depends,Version,In Bioconductor since,Imports Me,Depends On Me,SystemRequirements
AnnotationDbi,"Annotation,GenomeAnnotation,Microarray,Sequencing,Software",,,Artistic-2.0,,"methods, utils,DBI,RSQLite, stats4,BiocGenerics,Biobase,S4Vectors","BiocCaseStudies,BiocGenerics,FGNet,geecc,GeneAnswers,GeneRegionScan,GenomicRanges,GenoView,limma,MmPalateMiRNA,neaGUI,oneChannelGUI,qcmetrics,sigPathway",&nbsp;,"DBI(>= 0.2-4),RSQLite(>= 0.6-4),hgu95av2.db,GO.db,org.Sc.sgd.db,org.At.tair.db,KEGG.db,RUnit,TxDb.Hsapiens.UCSC.hg19.knownGene,hom.Hs.inp.db,org.Hs.eg.db,reactome.db,AnnotationForge,graph, org.TguttataTestingSubset.eg.db,BiocStyle,knitr","R (>= 2.7.0), methods, utils, stats4,BiocGenerics(>= 0.11.2),Biobase(>= 1.17.0),GenomeInfoDb(>= 0.99.17)",1.28.2,BioC 2.1 (R-2.6),"adme16cod.db,adSplit,affycoretools,affylmGUI,ag.db,agcdf,AllelicImbalance,annaffy,AnnotationHub,anopheles.db0,arabidopsis.db0,ath1121501.db,ath1121501cdf,attract,barley1cdf,beadarray,biomaRt,BioNet,biovizBase,bovine.db,bovine.db0,bovinecdf,bsubtiliscdf,CancerMutationAnalysis,canine.db,canine.db0,canine2.db,canine2cdf,caninecdf,Category,categoryCompare,celegans.db,celeganscdf,cheung2010,chicken.db,chicken.db0,chickencdf,chimp.db0,ChIPpeakAnno,ChIPseeker,citruscdf,clusterProfiler,CoCiteStats,compEpiTools,cottoncdf,csaw,customProDB,cyp450cdf,derfinder,DeSousa2013,DO.db,domainsignatures,DOSE,drosgenome1.db,drosgenome1cdf,drosophila2.db,drosophila2cdf,ecoli2.db,ecoli2cdf,ecoliasv2cdf,ecolicdf,ecoliK12.db0,ecoliSakai.db0,ExpressionView,FDb.FANTOM4.promoters.hg19,FDb.InfiniumMethylation.hg18,FDb.InfiniumMethylation.hg19,FDb.UCSC.snp135common.hg19,FDb.UCSC.snp137common.hg19,FDb.UCSC.tRNAs,fly.db0,FunciSNP,gage,gahgu133a.db,gahgu133b.db,gahgu133plus2.db,gahgu95av2.db,gahgu95b.db,gahgu95c.db,gahgu95d.db,gahgu95e.db,gCMAP,gCMAPWeb,genefilter,geneplotter,GGBase,GGHumanMethCancerPanelv1.db,GGtools,GlobalAncova,globaltest,GO.db,GOFunction,GOSemSim,goseq,GOSim,GOstats,goTools,gp53cdf,graphite,GSEABase,Gviz,h10kcod.db,h20kcod.db,hcg110.db,hcg110cdf,hgfocus.db,hgfocuscdf,hgu133a.db,hgu133a2.db,hgu133a2cdf,hgu133acdf,hgu133atagcdf,hgu133b.db,hgu133bcdf,hgu133plus2.db,hgu133plus2cdf,hgu219.db,hgu219cdf,hgu95a.db,hgu95acdf,hgu95av2.db,hgu95av2cdf,hgu95b.db,hgu95bcdf,hgu95c.db,hgu95ccdf,hgu95d.db,hgu95dcdf,hgu95e.db,hgu95ecdf,hguatlas13k.db,hgubeta7.db,hguDKFZ31.db,hgug4100a.db,hgug4101a.db,hgug4110b.db,hgug4111a.db,hgug4112a.db,hgug4845a.db,hguqiagenv3.db,hi16cod.db,hivprtplus2cdf,hom.At.inp.db,hom.Ce.inp.db,hom.Dm.inp.db,hom.Dr.inp.db,hom.Hs.inp.db,hom.Mm.inp.db,hom.Rn.inp.db,hom.Sc.inp.db,Homo.sapiens,hs25kresogen.db,Hs6UG171.db,HsAgilentDesign026652.db,hspeccdf,hthgu133a.db,hthgu133acdf,hthgu133b.db,hthgu133bcdf,hthgu133pluspmcdf,htmg430acdf,htmg430bcdf,htmg430pmcdf,htrat230pmcdf,htratfocuscdf,HTSanalyzeR,hu35ksuba.db,hu35ksubacdf,hu35ksubb.db,hu35ksubbcdf,hu35ksubc.db,hu35ksubccdf,hu35ksubd.db,hu35ksubdcdf,hu6800.db,hu6800cdf,hu6800subacdf,hu6800subbcdf,hu6800subccdf,hu6800subdcdf,huex10stprobeset.db,huex10sttranscriptcluster.db,hugene10stprobeset.db,hugene10sttranscriptcluster.db,hugene10stv1cdf,hugene11stprobeset.db,hugene11sttranscriptcluster.db,hugene20stprobeset.db,hugene20sttranscriptcluster.db,hugene21stprobeset.db,hugene21sttranscriptcluster.db,human.db0,HuO22.db,hwgcod.db,IlluminaHumanMethylation27k.db,IlluminaHumanMethylation450k.db,illuminaHumanv1.db,illuminaHumanv2.db,illuminaHumanv2BeadID.db,illuminaHumanv3.db,illuminaHumanv4.db,illuminaHumanWGDASLv3.db,illuminaHumanWGDASLv4.db,illuminaMousev1.db,illuminaMousev1p1.db,illuminaMousev2.db,illuminaRatv1.db,indac.db,interactiveDisplay,JazaeriMetaData.db,KEGG.db,keggorthology,KEGGprofile,LAPOINTE.db,lumi,lumiHumanAll.db,lumiHumanIDMapping,lumiMouseAll.db,lumiMouseIDMapping,lumiRatAll.db,lumiRatIDMapping,m10kcod.db,m20kcod.db,MafDb.ALL.wgs.phase1.release.v3.20101123,MafDb.ALL.wgs.phase1.release.v3.20101123,MafDb.ESP6500SI.V2.SSA137.dbSNP138,MafDb.ESP6500SI.V2.SSA137.dbSNP138,maizecdf,malaria.db0,medicagocdf,MeSHDbi,methyAnalysis,methylumi,mgu74a.db,mgu74acdf,mgu74av2.db,mgu74av2cdf,mgu74b.db,mgu74bcdf,mgu74bv2.db,mgu74bv2cdf,mgu74c.db,mgu74ccdf,mgu74cv2.db,mgu74cv2cdf,mguatlas5k.db,mgug4104a.db,mgug4120a.db,mgug4121a.db,mgug4122a.db,mi16cod.db,MineICA,MiRaGE,mirbase.db,mirna102xgaincdf,mirna10cdf,mirna20cdf,miRNAtap.db,mm24kresogen.db,MmAgilentDesign026655.db,moe430a.db,moe430acdf,moe430b.db,moe430bcdf,moex10stprobeset.db,moex10sttranscriptcluster.db,mogene10stprobeset.db,mogene10sttranscriptcluster.db,mogene10stv1cdf,mogene11stprobeset.db,mogene11sttranscriptcluster.db,mogene20stprobeset.db,mogene20sttranscriptcluster.db,mogene21stprobeset.db,mogene21sttranscriptcluster.db,mouse.db0,mouse4302.db,mouse4302cdf,mouse430a2.db,mouse430a2cdf,mpedbarray.db,mta10stprobeset.db,mta10sttranscriptcluster.db,mu11ksuba.db,mu11ksubacdf,mu11ksubb.db,mu11ksubbcdf,Mu15v1.db,mu19ksuba.db,mu19ksubacdf,mu19ksubb.db,mu19ksubbcdf,mu19ksubc.db,mu19ksubccdf,Mu22v3.db,mu6500subacdf,mu6500subbcdf,mu6500subccdf,mu6500subdcdf,Mus.musculus,mvGST,mwgcod.db,Norway981.db,nugohs1a520180.db,nugohs1a520180cdf,nugomm1a520177.db,nugomm1a520177cdf,OperonHumanV3.db,org.Ag.eg.db,org.At.tair.db,org.Bt.eg.db,org.Ce.eg.db,org.Cf.eg.db,org.Dm.eg.db,org.Dr.eg.db,org.EcK12.eg.db,org.EcSakai.eg.db,org.Gg.eg.db,org.Hs.eg.db,org.Hs.ipi.db,org.Mm.eg.db,org.Mmu.eg.db,org.Pf.plasmo.db,org.Pt.eg.db,org.Rn.eg.db,org.Sc.sgd.db,org.Sco.eg.db,org.Ss.eg.db,org.Tgondii.eg.db,org.Xl.eg.db,OrganismDbi,PADOG,paeg1acdf,PAnnBuilder,PartheenMetaData.db,pathview,pcaGoPromoter,PCpheno,pedbarrayv10.db,pedbarrayv9.db,PFAM.db,phenoTest,pig.db0,plasmodiumanophelescdf,POCRCannotation.db,PolyPhen.Hsapiens.dbSNP131,poplarcdf,porcine.db,porcinecdf,ppiData,primeviewcdf,qpgraph,r10kcod.db,rae230a.db,rae230acdf,rae230b.db,rae230bcdf,raex10stprobeset.db,raex10sttranscriptcluster.db,ragene10stprobeset.db,ragene10sttranscriptcluster.db,ragene10stv1cdf,ragene11stprobeset.db,ragene11sttranscriptcluster.db,ragene20stprobeset.db,ragene20sttranscriptcluster.db,ragene21stprobeset.db,ragene21sttranscriptcluster.db,rat.db0,rat2302.db,rat2302cdf,rattoxfxcdf,Rattus.norvegicus,reactome.db,ReactomePA,REDseq,ReportingTools,rgu34a.db,rgu34acdf,rgu34b.db,rgu34bcdf,rgu34c.db,rgu34ccdf,rguatlas4k.db,rgug4105a.db,rgug4130a.db,rgug4131a.db,rhesus.db0,rhesuscdf,ri16cod.db,ricecdf,RmiR.Hs.miRNA,RmiR.hsa,RnAgilentDesign028282.db,rnu34.db,rnu34cdf,Roberts2005Annotation.db,rTRM,rtu34.db,rtu34cdf,rwgcod.db,saureuscdf,ScISI,SGSeq,SHDZ.db,SIFT.Hsapiens.dbSNP132,SIFT.Hsapiens.dbSNP137,SLGI,soybeancdf,sugarcanecdf,targetscan.Hs.eg.db,targetscan.Mm.eg.db,test1cdf,test2cdf,test3cdf,tigre,tomatocdf,topGO,TxDb.Athaliana.BioMart.plantsmart22,TxDb.Celegans.UCSC.ce6.ensGene,TxDb.Dmelanogaster.UCSC.dm3.ensGene,TxDb.Hsapiens.BioMart.igis,TxDb.Hsapiens.UCSC.hg18.knownGene,TxDb.Hsapiens.UCSC.hg19.knownGene,TxDb.Hsapiens.UCSC.hg19.lincRNAsTranscripts,TxDb.Hsapiens.UCSC.hg38.knownGene,TxDb.Mmusculus.UCSC.mm10.ensGene,TxDb.Mmusculus.UCSC.mm10.knownGene,TxDb.Mmusculus.UCSC.mm9.knownGene,TxDb.Rnorvegicus.BioMart.igis,TxDb.Rnorvegicus.UCSC.rn4.ensGene,TxDb.Rnorvegicus.UCSC.rn5.refGene,TxDb.Scerevisiae.UCSC.sacCer2.sgdGene,TxDb.Scerevisiae.UCSC.sacCer3.sgdGene,u133aaofav2cdf,u133x3p.db,u133x3pcdf,UniProt.ws,VariantAnnotation,VariantFiltering,vitisviniferacdf,wheatcdf,worm.db0,xenopus.db0,xenopuslaeviscdf,xlaevis.db,xlaevis2cdf,xtropicaliscdf,ye6100subacdf,ye6100subbcdf,ye6100subccdf,ye6100subdcdf,yeast.db0,yeast2.db,yeast2cdf,ygs98.db,ygs98cdf,zebrafish.db,zebrafish.db0,zebrafishcdf","a4Base,a4Preproc,adme16cod.db,ag.db,agprobe,annotate,AnnotationForge,AnnotationFuncs,anopheles.db0,arabidopsis.db0,ath1121501.db,ath1121501probe,attract,barley1probe,bovine.db,bovine.db0,bovineprobe,bsubtilisprobe,canine.db,canine.db0,canine2.db,canine2probe,canineprobe,Category,celegans.db,celegansprobe,chicken.db,chicken.db0,chickenprobe,chimera,chimp.db0,ChromHeatMap,citrusprobe,cottonprobe,customProDB,DO.db,drosgenome1.db,drosgenome1probe,drosophila2.db,drosophila2probe,ecoli2.db,ecoli2probe,ecoliasv2probe,ecoliK12.db0,ecoliprobe,ecoliSakai.db0,eisa,ExpressionView,fly.db0,gahgu133a.db,gahgu133aprobe,gahgu133b.db,gahgu133bprobe,gahgu133plus2.db,gahgu133plus2probe,gahgu95av2.db,gahgu95av2probe,gahgu95b.db,gahgu95bprobe,gahgu95c.db,gahgu95cprobe,gahgu95d.db,gahgu95dprobe,gahgu95e.db,gahgu95eprobe,GenomicFeatures,GGdata,GGHumanMethCancerPanelv1.db,GO.db,GOFunction,goProfiles,h10kcod.db,h20kcod.db,hcg110.db,hcg110probe,hgfocus.db,hgfocusprobe,hgu133a.db,hgu133a2.db,hgu133a2probe,hgu133aprobe,hgu133atagprobe,hgu133b.db,hgu133bprobe,hgu133plus2.db,hgu133plus2probe,hgu219.db,hgu219probe,hgu95a.db,hgu95aprobe,hgu95av2.db,hgu95av2probe,hgu95b.db,hgu95bprobe,hgu95c.db,hgu95cprobe,hgu95d.db,hgu95dprobe,hgu95e.db,hgu95eprobe,hguatlas13k.db,hgubeta7.db,hguDKFZ31.db,hgug4100a.db,hgug4101a.db,hgug4110b.db,hgug4111a.db,hgug4112a.db,hgug4845a.db,hguqiagenv3.db,hi16cod.db,hom.At.inp.db,hom.Ce.inp.db,hom.Dm.inp.db,hom.Dr.inp.db,hom.Hs.inp.db,hom.Mm.inp.db,hom.Rn.inp.db,hom.Sc.inp.db,Homo.sapiens,hs25kresogen.db,Hs6UG171.db,HsAgilentDesign026652.db,hthgu133a.db,hthgu133aprobe,hthgu133b.db,hthgu133bprobe,hthgu133pluspmprobe,htmg430aprobe,htmg430bprobe,htmg430pmprobe,htrat230pmprobe,htratfocusprobe,hu35ksuba.db,hu35ksubaprobe,hu35ksubb.db,hu35ksubbprobe,hu35ksubc.db,hu35ksubcprobe,hu35ksubd.db,hu35ksubdprobe,hu6800.db,hu6800probe,huex10stprobeset.db,huex10sttranscriptcluster.db,HuExExonProbesetLocation,HuExExonProbesetLocationHg18,HuExExonProbesetLocationHg19,hugene10stprobeset.db,hugene10sttranscriptcluster.db,hugene10stv1probe,hugene11stprobeset.db,hugene11sttranscriptcluster.db,hugene20stprobeset.db,hugene20sttranscriptcluster.db,hugene21stprobeset.db,hugene21sttranscriptcluster.db,human.db0,HuO22.db,hwgcod.db,IlluminaHumanMethylation27k.db,IlluminaHumanMethylation450k.db,IlluminaHumanMethylation450kprobe,illuminaHumanv1.db,illuminaHumanv2.db,illuminaHumanv2BeadID.db,illuminaHumanv3.db,illuminaHumanv4.db,illuminaHumanWGDASLv3.db,illuminaHumanWGDASLv4.db,illuminaMousev1.db,illuminaMousev1p1.db,illuminaMousev2.db,illuminaRatv1.db,indac.db,JazaeriMetaData.db,KEGG.db,LAPOINTE.db,lumiHumanAll.db,lumiHumanIDMapping,lumiMouseAll.db,lumiMouseIDMapping,lumiRatAll.db,lumiRatIDMapping,m10kcod.db,m20kcod.db,maizeprobe,malaria.db0,maPredictDSC,medicagoprobe,MGFM,mgu74a.db,mgu74aprobe,mgu74av2.db,mgu74av2probe,mgu74b.db,mgu74bprobe,mgu74bv2.db,mgu74bv2probe,mgu74c.db,mgu74cprobe,mgu74cv2.db,mgu74cv2probe,mguatlas5k.db,mgug4104a.db,mgug4120a.db,mgug4121a.db,mgug4122a.db,mi16cod.db,mirbase.db,mirna10probe,miRNAtap,MLP,mm24kresogen.db,MmAgilentDesign026655.db,moe430a.db,moe430aprobe,moe430b.db,moe430bprobe,moex10stprobeset.db,moex10sttranscriptcluster.db,MoExExonProbesetLocation,mogene10stprobeset.db,mogene10sttranscriptcluster.db,mogene10stv1probe,mogene11stprobeset.db,mogene11sttranscriptcluster.db,mogene20stprobeset.db,mogene20sttranscriptcluster.db,mogene21stprobeset.db,mogene21sttranscriptcluster.db,mouse.db0,mouse4302.db,mouse4302probe,mouse430a2.db,mouse430a2probe,mpedbarray.db,mta10stprobeset.db,mta10sttranscriptcluster.db,mu11ksuba.db,mu11ksubaprobe,mu11ksubb.db,mu11ksubbprobe,Mu15v1.db,mu19ksuba.db,mu19ksubb.db,mu19ksubc.db,Mu22v3.db,Mus.musculus,mwgcod.db,Norway981.db,nugohs1a520180.db,nugohs1a520180probe,nugomm1a520177.db,nugomm1a520177probe,OperonHumanV3.db,org.Ag.eg.db,org.At.tair.db,org.Bt.eg.db,org.Ce.eg.db,org.Cf.eg.db,org.Dm.eg.db,org.Dr.eg.db,org.EcK12.eg.db,org.EcSakai.eg.db,org.Gg.eg.db,org.Hs.eg.db,org.Hs.ipi.db,org.Mm.eg.db,org.Mmu.eg.db,org.Pf.plasmo.db,org.Pt.eg.db,org.Rn.eg.db,org.Sc.sgd.db,org.Sco.eg.db,org.Ss.eg.db,org.Tgondii.eg.db,org.Xl.eg.db,OrganismDbi,PADOG,paeg1aprobe,PAnnBuilder,PANTHER.db,PartheenMetaData.db,pathRender,pedbarrayv10.db,pedbarrayv9.db,PFAM.db,PGSEA,pig.db0,plasmodiumanophelesprobe,POCRCannotation.db,poplarprobe,porcine.db,porcineprobe,primeviewprobe,proBAMr,r10kcod.db,rae230a.db,rae230aprobe,rae230b.db,rae230bprobe,raex10stprobeset.db,raex10sttranscriptcluster.db,RaExExonProbesetLocation,ragene10stprobeset.db,ragene10sttranscriptcluster.db,ragene10stv1probe,ragene11stprobeset.db,ragene11sttranscriptcluster.db,ragene20stprobeset.db,ragene20sttranscriptcluster.db,ragene21stprobeset.db,ragene21sttranscriptcluster.db,rat.db0,rat2302.db,rat2302probe,rattoxfxprobe,Rattus.norvegicus,reactome.db,rgu34a.db,rgu34aprobe,rgu34b.db,rgu34bprobe,rgu34c.db,rgu34cprobe,rguatlas4k.db,rgug4105a.db,rgug4130a.db,rgug4131a.db,rhesus.db0,rhesusprobe,ri16cod.db,riceprobe,RnAgilentDesign028282.db,rnu34.db,rnu34probe,Roberts2005Annotation.db,RpsiXML,rtu34.db,rtu34probe,rwgcod.db,safe,saureusprobe,SemDist,SHDZ.db,soybeanprobe,sugarcaneprobe,targetscan.Hs.eg.db,targetscan.Mm.eg.db,test3probe,tinesath1probe,tomatoprobe,topGO,u133x3p.db,u133x3pprobe,vitisviniferaprobe,wheatprobe,worm.db0,xenopus.db0,xenopuslaevisprobe,xlaevis.db,xlaevis2probe,xtropicalisprobe,yeast.db0,yeast2.db,yeast2probe,ygs98.db,ygs98probe,zebrafish.db,zebrafish.db0,zebrafishprobe",
AnnotationForge,"Annotation,Infrastructure,Software",,,Artistic-2.0,,"methods, utils,DBI,RSQLite,BiocGenerics,S4Vectors,Biobase",AnnotationDbi,&nbsp;,"DBI(>= 0.2-4),RSQLite(>= 0.6-4),XML,RCurl,hgu95av2.db,human.db0,affy,Homo.sapiens,hom.Hs.inp.db,GO.db,BiocStyle,knitr","R (>= 2.7.0), methods, utils,BiocGenerics(>= 0.1.13),Biobase(>= 1.17.0),AnnotationDbi(>= 1.19.15),org.Hs.eg.db",1.8.2,BioC 2.11 (R-2.15),"GGHumanMethCancerPanelv1.db,GOstats",,
AnnotationFuncs,"AnnotationData,Software",,,GPL-2,http://www.iysik.com/index.php?page=annotation-functions,,,&nbsp;,"org.Bt.eg.db,GO.db,org.Hs.eg.db,hom.Hs.inp.db","R (>= 2.7.0),AnnotationDbi",1.16.0,BioC 2.8 (R-2.13),,,
AnnotationHub,"Annotation,Infrastructure,Software",,,Artistic-2.0,,"methods, stats, utils,rjson,BiocGenerics,httr,BiocInstaller(>= 1.11.0),AnnotationDbi,GenomicRanges,interactiveDisplay(>= 1.0.23)",GenomicRanges,&nbsp;,"RUnit,RCurl,Rsamtools","S4Vectors(>= 0.2.3),IRanges(>= 1.99.28)",1.6.0,BioC 2.12 (R-3.0),,RefNet,
ArrayExpress,"DataImport,Microarray,OneChannel,Software,TwoChannel",,,Artistic-2.0,,"XML,affy,limma","gCMAPWeb,gCMAPWeb,Hiiragi2013",&nbsp;,,"R (>= 2.9.0),Biobase(>= 2.4.0)",1.26.0,BioC 2.3 (R-2.8),,DrugVsDisease,
ArrayExpressHTS,"RNASeq,Sequencing,Software",,Rsamtools,Artistic License 2.0,,"Biobase,BiocGenerics,Biostrings,DESeq,GenomicRanges,Hmisc,IRanges,R2HTML,RColorBrewer,Rsamtools,ShortRead,XML,biomaRt,edgeR, grDevices, graphics, methods,rJava, stats,svMisc, utils,sendmailR,bitops",,&nbsp;,,"sampling,Rsamtools(>= 1.3.32),snow",1.16.0,BioC 2.8 (R-2.13),,,
ArrayTV,"CopyNumberVariation,Software","doMC,doSNOW,doParallel",,GPL (>= 2),,"foreach,DNAcopy, methods,oligoClasses(>= 1.21.3)",VanillaICE,&nbsp;,"RColorBrewer,crlmm,ff,BSgenome.Hsapiens.UCSC.hg18,BSgenome.Hsapiens.UCSC.hg19,lattice,latticeExtra,RUnit,BiocGenerics",R (>= 2.14),1.4.0,BioC 2.13 (R-3.0),,,
ArrayTools,"Annotation,DifferentialExpression,Microarray,OneChannel,Preprocessing,QualityControl,ReportWriting,Software,StatisticalMethod,Visualization",,,LGPL (>= 2.0),,"affy,Biobase, graphics, grDevices,limma, methods, stats, utils,xtable",,&nbsp;,"simpleaffy,R2HTML,affydata,affyPLM,genefilter,annaffy,gcrma,hugene10sttranscriptcluster.db","R (>= 2.7.0),affy(>= 1.23.4),Biobase(>= 2.5.5), methods",1.26.0,BioC 2.3 (R-2.8),,,
AtlasRDF,"DataImport,DataRepresentation,DifferentialExpression,GeneExpression,GeneSetEnrichment,Microarray,Software",,,Apache License 2.0,,,,&nbsp;,,"R (>= 2.10),hash,SPARQL, methods",1.2.0,BioC 2.14 (R-3.1),,,
BAC,"Microarray,Software,Transcription",,,Artistic-2.0,,,,&nbsp;,,R (>= 2.10),1.26.0,BioC 2.2 (R-2.7),,,
BADER,"DifferentialExpression,RNASeq,SAGE,Sequencing,Software",,,GPL-2,,,,&nbsp;,pasilla(>= 0.2.10),,1.4.0,BioC 2.13 (R-3.0),,,
BAGS,"Bayesian,Software",,,Artistic-2.0,,,,&nbsp;,,"R (>= 2.10),breastCancerVDX,Biobase",2.6.0,BioC 2.13 (R-3.0),,,
BCRANK,"GeneRegulation,MotifDiscovery,Software",,,GPL-2,,Biostrings,,&nbsp;,seqLogo,methods,1.28.0,BioC 2.2 (R-2.7),,,
BEAT,"DNAMethylation,Epigenetics,Genetics,MethylSeq,Software",,,LGPL (>= 3.0),,"GenomicRanges,ShortRead,Biostrings,BSgenome",,&nbsp;,,R (>= 2.13.0),1.4.0,BioC 2.14 (R-3.1),,,
BGmix,"DifferentialExpression,Microarray,MultipleComparison,Software",,,GPL-2,,,,&nbsp;,,"R (>= 2.3.1),KernSmooth",1.26.0,BioC 2.2 (R-2.7),,,
BHC,"Clustering,Microarray,Software",,,GPL-3,,,,&nbsp;,,,1.18.0,BioC 2.7 (R-2.12),,,
BRAIN,"MassSpectrometry,Proteomics,Software",,,GPL-2,,,"cleaver,RforProteomics",&nbsp;,,"R (>= 2.8.1),PolynomF,Biostrings,lattice",1.12.0,BioC 2.10 (R-2.15),,,
