"package","version"
"anacor","1.0-5"
"analogue","0.16-0"
"analogueExtra","0.1-0"
"AnalyzeFMRI","1.1-16"
"anametrix","1.6"
"anapuce","2.2"
"anchors","3.0-8"
"AnDE","1.0"
"andrews","1.0"
"anesrake","0.70"
"animalTrack","1.0.0"
"animation","2.3"
"anim.plots","0.1"
"annotate",NA
"AnnotationDbi",NA
"AnnotationForge",NA
"AnnotLists","1.2"
"anominate","0.5"
"AnthropMMD","0.9.9"
"Anthropometry","1.1"
"antitrust","0.94"
"AntWeb","0.7"
"aod","1.3"
"aods3","0.4-1"
"AOfamilies","1.01"
"aoos","0.0.3"
"aoristic","0.5"
"apc","1.0"
"apcluster","1.4.1"
"ape","3.2"
"aplpack","1.3.0"
"apmsWAPP","1.0"
"appell","0.0-4"
"apple","0.3"
"AppliedPredictiveModeling","1.1-6"
"approximator","1.2-6"
"aprof","0.2.4"
"APSIMBatch","0.1.0.2374"
"apsimr","0.1"
"apsrtable","0.8-8"
"apt","2.3"
"apTreeshape","1.4-5"
"aqfig","0.8"
"aqp","1.7-7"
"aqr","0.4"
"AquaEnv","1.0-3"
"AR1seg","1.0"
"archdata","0.1"
"archetypes","2.2-0"
"archiDART","1.0"
"archivist","1.2"
"ArDec","2.0"
"arf3DS4","2.5-10"
"arfima","1.2-7"
"argosfilter","0.63"
"argparse","1.0.1"
"argparser","0.1"
"arm","1.7-07"
"arnie","0.1.2"
"aroma.affymetrix","2.12.0"
"aroma.apd","0.5.0"
"aroma.cn","1.5.0"
"aroma.core","2.12.1"
"aroma.light",NA
"ARPobservation","1.0"
"aRpsDCA","1.0.0"
"ArrayBin","0.2"
"arrayhelpers","0.76-20120816"
"ars","0.5"
"ARTool","0.9.3"
"ARTP","2.0.4"
"arules","1.1-6"
"arulesNBMiner","0.1-4"
"arulesSequences","0.2-6"
"arulesViz","1.0-0"
"aRxiv","0.5.5"
"asbio","1.1-1"
"ascii","2.1"
"ascrda","1.15"
"asd","2.0"
"ASGSCA",NA
"ash","1.0-14"
"ASMap","0.3-2"
"aspace","3.2"
"ASPBay","1.1"
"aspect","1.0-3"
"assertive","0.1-8"
"assertthat","0.1"
"AssetPricing","1.0-0"
"AssotesteR","0.1-10"
"aster","0.8-30"
"aster2","0.1"
"astro","1.2"
"astrochron","0.3.1"
"astrodatR","0.1"
"astroFns","4.1-0"
"astrolibR","0.1"
"astsa","1.3"
"asympTest","0.1.3"
"asypow","2013.9-1"
"AtelieR","0.24"
"atmcmc","1.0"
"ATmet","1.2"
"AtmRay","1.31"
"attribrisk","0.1"
"AUC","0.3.0"
"AUCRF","1.1"
"audio","0.1-5"
"audiolyzR","0.4-9"
"audit","0.1-1"
"autoencoder","1.0"
"automap","1.0-14"
"autopls","1.2-7"
"AutoSEARCH","1.3"
"aws","1.9-4"
"awsMethods","1.0-3"
"aylmer","1.0-11"
"B2Z","1.4"
"b6e6rl","1.1"
"babel","0.2-6"
"BaBooN","0.1-6"
"babynames","0.1"
"BACCO","2.0-9"
"backtest","0.3-2"
"BACprior","2.0"
"BAEssd","1.0.1"
"bagRboostR","0.0.2"
"BalancedSampling","1.4"
"BaM","0.99"
"bamboo","0.9.5"
"bamdit","1.1-1"
"BAMMtools","2.0.2"
"bams","1.6"
"bandit","0.5.0"
"BANOVA","0.2"
"barcode","1.1"
"bark","0.1-0"
"bartMachine","1.1.1"
"BAS","1.0"
"base64","1.1"
"base64enc","0.1-2"
"baseline","1.1-3"
"basicspace","0.15"
"BASIX","1.1"
"BaSTA","1.9.3"
"BAT","1.0.1"
"batade","0.1"
"batch","1.1-4"
"BatchExperiments","1.4"
"BatchJobs","1.5"
"batchmeans","1.0-1"
"BayesBridge","0.5"
"bayesclust","3.1"
"BayesComm","0.1-0"
"bayescount","0.9.9-2"
"BayesCR","1.0"
"BayesDA","2012.04-1"
"bayesDem","2.4-1"
"BayesFactor","0.9.9"
"bayesGARCH","2.0.1"
"bayesGDS","0.6.0"
"BayesGESM","1.1"
"BayesianAnimalTracker","1.2"
"Bayesianbetareg","1.2"
"BayesLCA","1.6"
"bayesLife","2.1-3"
"BayesLogit","0.5.1"
"bayesm","2.2-5"
"bayesMCClust","1.0"
"BayesMed","1.0"
"bayesmix","0.7-3"
"BayesMixSurv","0.9"
"BayesNI","0.1"
"bayesPop","5.2-1"
"bayespref","1.0"
"bayesQR","2.2"
"bayess","1.4"
"BayesSAE","1.0-1"
"BayesSingleSub","0.6.2"
"bayesSurv","2.3-1"
"bayesTFR","4.0-11"
"Bayesthresh","2.0.1"
"BayesTree","0.3-1.2"
"BayesValidate","0.0"
"BayesVarSel","1.5.1"
"BayesX","0.2-9"
"BayesXsrc","2.1-2"
"BayHap","1.0.1"
"BayHaz","0.1-3"
"BaylorEdPsych","0.5"
"bayou","1.0.1"
"BaySIC","1.0"
"BAYSTAR","0.2-9"
"BB","2014.10-1"
"bbefkr","4.2"
"bbemkr","2.0"
"BBEST","0.1-1"
"BBmisc","1.8"
"bbmle","1.0.17"
"BBMM","3.0"
"bbo","0.2"
"BBRecapture","0.1"
"bc3net","1.0.2"
"BCA","0.9-3"
"BCBCSF","1.0-0"
"BCDating","0.9.3"
"BcDiag","1.0.7"
"BCE","2.1"
"BCEA","2.0-2"
"BCEs0","1.1"
"Bchron","4.1.1"
"Bclim","2.3.1"
"bclust","1.4"
"bcool","1.1"
"bcp","3.0.1"
"bcpa","1.1"
"bcpmeta","1.0"
"bcrm","0.4.4"
"bcv","1.0"
"bda","3.2.0-3"
"bde","1.0"
"BDgraph","2.13"
"bdoc","1.2"
"bdpv","1.1"
"bdscale","1.2"
"bdsmatrix","1.3-2"
"bdvis","0.1.0"
"bdynsys","1.3"
"beadarray",NA
"beadarrayExampleData",NA
"beadarrayFilter","1.1.0"
"beadarrayMSV","1.1.0"
"BeadDataPackR",NA
"beanplot","1.2"
"BEANSP","1.0"
"bear","2.6.4"
"BEDASSLE","1.5"
"beepr","1.1"
"beeswarm","0.1.6"
"benchden","1.0.5"
"benchmark","0.3-6"
"Benchmarking","0.24"
"benford.analysis","0.1.1"
"BenfordTests","1.1.1"
"bentcableAR","0.2.3"
"BEQI2","1.0-1"
"ber","4.0"
"Bergm","3.0.1"
"BerlinData","1.0.1"
"berryFunctions","1.6"
"Bessel","0.5-5"
"BEST","0.2.2"
"bestglm","0.34"
"betafam","1.0"
"betapart","1.3"
"betaper","1.1-0"
"betareg","3.0-5"
"betategarch","3.2"
"bethel","0.2"
"bezier","1.1"
"bfa","0.3.1"
"bfast","1.5.7"
"bfp","0.0-27"
"bgeva","0.2"
"bglm","1.0"
"BGLR","1.0.3"
"bgmm","1.6"
"BGPhazard","1.1"
"BGSIMD","1.0"
"BH","1.54.0-5"
"Bhat","0.9-10"
"BHH2","2012.04-0"
"BHMSMAfMRI","1.0"
"biasbetareg","1.0"
"BiasedUrn","1.06.1"
"bibtex","0.3-6"
"biclust","1.0.2"
"BiDimRegression","1.0.6"
"bifactorial","1.4.7"
"BIFIEsurvey","1.1"
"bigalgebra","0.8.4"
"biganalytics","1.1.1"
"bigdata","0.1"
"bigGP","0.1-4"
"biglars","1.0.2"
"biglm","0.9-1"
"bigmemory","4.4.6"
"bigmemory.sri","0.1.3"
"bigpca","1.0"
"bigrf","0.1-11"
"bigRR","1.3-10"
"bigsplines","1.0-4"
"bigtabulate","1.1.2"
"BigTSP","1.0"
"bild","1.1-3"
"bimetallic","1.0"
"binda","1.0.1"
"bindata","0.9-19"
"binequality","0.6.1"
"bingat","1.1"
"binGroup","1.1-0"
"binhf","1.0-1"
"binMto","0.0-6"
"BinNonNor","1.0"
"BinNor","2.0"
"binom","1.1-1"
"binomialcftp","1.0"
"binomlogit","1.2"
"binomSamSize","0.1-3"
"binomTools","1.0-1"
"binr","1.0"
"binseqtest","1.0"
"bio3d","2.1-3"
"Biobase",NA
"BiocGenerics",NA
"BiocInstaller",NA
"BiocParallel",NA
"Biodem","0.3"
"BiodiversityR","2.5-1"
"BioGeoBEARS","0.2.1"
"Biograph","2.0.4"
"bio.infer","1.3-3"
"biom","0.3.12"
"BioMark","0.4.2"
"biomaRt",NA
"biomod2","3.1-64"
"BIOM.utils","0.9"
"bionetdata","1.0.1"
"biopara","1.5"
"BioPhysConnectoR","1.6-10"
"bioPN","1.2.0"
"bios2mds","1.2.2"
"BioStatR","2.0.0"
"Biostrings",NA
"biotools","1.2"
"biovizBase",NA
"bipartite","2.05"
"biplotbootGUI","1.0"
"BIPOD","0.2.1"
"birdring","1.2"
"birk","1.2"
"bisectr","0.1.0"
"BiSEp","2.0"
"bisoreg","1.1"
"bit","1.1-12"
"bit64","0.9-4"
"bitops","1.0-6"
"bivarRIpower","1.2"
"biwavelet","0.17.5"
"biwt","1.0"
"bizdays","0.1.5"
"BlakerCI","1.0-4"
"BlandAltmanLeh","0.1.0"
"Blaunet","1.0.1"
"blender","0.1.2"
"blighty","3.1-4"
"blkergm","1.1"
"blm","2013.2.4.4"
"blme","1.0-2"
"blockcluster","3.0.1"
"blockmatrix","1.0"
"BlockMessage","1.0"
"blockmodeling","0.1.8"
"blockrand","1.3"
"blocksdesign","1.3"
"blowtorch","1.0.2"
"BLR","1.4"
"BMA","3.18.1"
"bmd","0.5"
"bmem","1.5"
"BMhyd","1.2-2"
"Bmix","0.4"
"bmk","1.0"
"bmmix","0.1-2"
"BMN","1.02"
"bmp","0.2"
"bmrm","1.8"
"BMS","0.3.3"
"bnlearn","3.6"
"bnormnlr","1.0"
"BNPdensity","2013.8"
"bnpmr","1.1"
"BNSP","1.0.1"
"boa","1.1.7-2"
"boilerpipeR","1.2.2"
"BOIN","1.0"
"bold","0.2.0"
"Bolstad","0.2-25"
"Bolstad2","1.0-28"
"boolean3","3.1.6"
"BoolNet","2.0.2"
"Boom","0.2"
"BoomSpikeSlab","0.5.2"
"boostr","1.0.0"
"boostSeq","1.0"
"boot","1.3-13"
"bootES","1.01"
"bootLR","0.9"
"BootPR","0.60"
"bootRes","1.2.3"
"bootruin","1.2-1"
"bootspecdens","3.0"
"bootStepAIC","1.2-0"
"bootstrap","2014.4"
"bootSVD","0.1"
"boral","0.6"
"Boruta","4.0.0"
"boss","2.1"
"BoSSA","1.2"
"boussinesq","1.0.3"
"boxplotdbl","1.2.2"
"bpca","1.2-2"
"bpcp","1.2.4"
"bPeaks","1.2"
"bpkde","1.0-7"
"bqtl","1.0-30"
"BradleyTerry2","1.0-5"
"BrailleR","0.11"
"brainR","1.2"
"brainwaver","1.6"
"branchLars","1.0"
"breakage","1.1-1"
"breakaway","1.0"
"breakpoint","1.0"
"breastCancerVDX",NA
"bReeze","0.4-0"
"brew","1.0-6"
"brglm","0.5-9"
"bride","1.3"
"brnn","0.4"
"Brobdingnag","1.2-4"
"broman","0.48-2"
"broom","0.3.4"
"Brq","1.0"
"BRugs","0.8-3"
"BSagri","0.1-8"
"BSDA","1.01"
"BSgenome",NA
"BSgenome.Hsapiens.UCSC.hg19",NA
"BSGW","0.9"
"bshazard","1.0"
"BsMD","2013.0718"
"bspec","1.4"
"bspmma","0.1-1"
"BSquare","1.1"
"BSSasymp","1.1-0"
"bst","0.3-4"
"bsts","0.6.1"
"btf","1.1"
"BTSPAS","2014.0901"
"BTYD","2.4"
"bujar","0.1-4"
"bumphunter",NA
"BurStFin","1.02"
"BurStMisc","1.00"
"bursts","1.0-1"
"bvarsv","1.0"
"bvenn","0.1"
"bvls","1.4"
"bvpSolve","1.2.4"
"BVS","4.12.1"
"c060","0.2-4"
"c3net","1.1.1"
"C50","0.1.0-21"
"ca","0.55"
"cabootcrs","1.0"
"cacIRT","1.3"
"CaDENCE","1.2.1"
"CADFtest","0.3-2"
"cAIC4","0.2"
"Cairo","1.5-6"
"cairoDevice","2.20"
"CALIBERrfimpute","0.1-6"
"calibrate","1.7.2"
"calibrator","1.2-6"
"CALINE3","1.0-2"
"calmate","0.11.0"
"CAMAN","0.72"
"camel","0.2.0"
"cancerTiming","2.0.0"
"candisc","0.6-5"
"cape","1.3"
"caper","0.5.2"
"capm","0.5"
"capushe","1.0"
"capwire","1.1.4"
"car","2.0-22"
"CARBayes","4.0"
"CARBayesST","1.1"
"carcass","1.3"
"cardidates","0.4.5"
"care","1.1.7"
"CARE1","1.1.0"
"caret","6.0-37"
"caribou","1.1"
"CarletonStats","1.1"
"caroline","0.7.6"
"CARramps","0.1.2"
"CARrampsOcl","0.1.4"
"caschrono","1.4"
"caseMatch","1.0.1"
"cat","0.0-6.5"
"catdata","1.2.1"
"CatDyn","1.0-5"
"Category",NA
"catenary","1.1"
"CateSelection","1.0"
"cati","0.8"
"catIrt","0.5-0"
"catnet","1.14.5"
"caTools","1.17.1"
"catR","3.3"
"catspec","0.97"
"causaleffect","1.0"
"CausalGAM","0.1-3"
"causalsens","0.1"
"Causata","4.2-0"
"CAvariants","2.1"
"cba","0.2-14"
"CBPS","0.9"
"CCA","1.2"
"CCAGFA","1.0.4"
"ccaPP","0.3.0"
"cccd","1.04"
"ccChooser","0.2.6"
"cccrm","1.1"
"ccda","1.1"
"ccgarch","0.2.3"
"cclust","0.6-19"
"CCM","1.1"
"CCP","1.1"
"CCpop","1.0"
"CCTpack","1.4"
"cda","1.5.1"
"cdb","0.0.1"
"cdcsis","1.0"
"CDFt","1.0.1"
"CDLasso","1.1"
"CDM","4.0"
"CDNmoney","2012.4-1"
"CDVine","1.2"
"CEC","0.9.2"
"cec2005benchmark","1.0.3"
"cec2013","0.1-4"
"celestial","1.1"
"CellularAutomaton","1.1-1"
"cellVolumeDist","1.3"
"cem","1.1.10"
"censNID","0-0-1"
"censReg","0.5-20"
"CensRegMod","0.0"
"cents","0.1-41"
"CePa","0.5"
"cepp","1.0"
"CerioliOutlierDetection","1.0.8"
"cfa","0.9-3"
"CfEstimateQuantiles","1.0"
"cg","1.0-1"
"cgam","1.2"
"cgAUC","1.2.1"
"cgdsr","1.1.31"
"cggd","0.8"
"cgh","1.0-7.1"
"CGHbase",NA
"CGHcall",NA
"cghFLasso","0.2-1"
"CGHregions",NA
"cghseg","1.0.2"
"CGP","2.0-2"
"ChainLadder","0.1.8"
"changepoint","1.1.5"
"ChargeTransport","1.0.2"
"CHAT","1.1"
"CHCN","1.5"
"cheb","0.3"
"chebpol","1.3-1367"
"CheckDigit","0.1-1"
"checkmate","1.5.1"
"checkpoint","0.3.3"
"cheddar","0.1-626"
"chemCal","0.1-34"
"ChemmineR",NA
"chemometrics","1.3.8"
"ChemometricsWithR","0.1.8"
"ChemometricsWithRData","0.1.3"
"chemosensors","0.7.8"
"ChemoSpec","2.0-2"
"cherry","0.5-10"
"childsds","0.5"
"chillR","0.54"
"chipPCR","0.0.8-3"
"chngpt","2014.12-2"
"CHNOSZ","1.0.3.1"
"choiceDes","0.9-1"
"ChoiceModelR","1.2"
"choplump","1.0-0.4"
"chopsticks",NA
"chords","0.90"
"choroplethr","2.1.1"
"choroplethrAdmin1","1.0.0"
"choroplethrMaps","1.0"
"chromoR","1.0"
"chron","2.3-45"
"CHsharp","0.3"
"CIDnetworks","0.6.0"
"CIFsmry","1.0.1"
"cin","0.1"
"CINID","1.2"
"CINOEDV","2.0"
"CircE","1.1"
"circlize","0.2.0"
"CircNNTSR","2.1"
"CircStats","0.2-4"
"circular","0.4-7"
"cit","1.3"
"CITAN","2014.12-1"
"citbcmst","1.0.4"
"citccmst","1.0.2"
"CityPlot","2.0"
"cjoint","1.0.2"
"Ckmeans.1d.dp","3.02"
"cladoRcpp","0.14.4"
"CLAG","2.18.1"
"class","7.3-11"
"classGraph","0.7-4"
"classifly","0.4"
"classify","1.3"
"classInt","0.1-21"
"classyfire","0.1-1"
"clere","1.1"
"clhs","0.5-4"
"ClickClust","1.1.3"
"clickstream","1.1.2"
"ClimClass","1.0"
"climdex.pcic","1.1-4"
"clime","0.4.1"
"clinfun","1.0.6"
"clinsig","1.0-4"
"clinUtiDNA","1.0"
"CLME","2.0-1"
"clogitL1","1.4"
"cloudUtil","0.1.10"
"clpAPI","1.2.6"
"CLSOCP","1.0"
"clue","0.3-48"
"clues","0.5-4"
"cluster","1.15.3"
"clusterCrit","1.2.4"
"cluster.datasets","1.0-1"
"clusterfly","0.4"
"clustergas","1.0"
"clusterGeneration","1.3.1"
"clusterGenomics","1.0"
"clusterPower","0.5"
"clusterRepro","0.5-1.1"
"clusterSim","0.44-1"
"clusteval","0.1"
"clusthaplo","1.2"
"clustMD","1.0"
"ClustOfVar","0.8"
"clustrd","0.1.2"
"clustsig","1.1"
"ClustVarLV","1.3.1"
"clustvarsel","2.1"
"clv","0.3-2.1"
"clValid","0.6-6"
"cmaes","1.0-11"
"CMC","1.0"
"CMF","1.0"
"cmm","0.7"
"CMPControl","1.0"
"cmprsk","2.2-7"
"cmprskQR","0.9.0"
"cmrutils","1.2-2"
"cmvnorm","1.0"
"cna","1.0-1"
"cncaGUI","0.0-2"
"CNOGpro","1.0"
"CNprep","1.0"
"CNVassoc","2.0.1"
"CNVassocData","1.0"
"CNVtools",NA
"coalescentMCMC","0.4"
"coarseDataTools","0.6-2"
"COBRA","0.99.4"
"cobs","1.2-2"
"cobs99","0.9-12"
"CoClust","0.3-0"
"cocor","1.0-0"
"cocorresp","0.2-3"
"cocron","1.0-0"
"coda","0.16-1"
"codadiags","1.0"
"codep","0.4-1"
"codetools","0.2-9"
"coefficientalpha","0.3.3"
"coefplot","1.2.0"
"coenocliner","0.1-0"
"coexist","1.0"
"CoImp","0.2-3"
"coin","1.0-24"
"CoinMinD","1.1"
"cold","1.0-3"
"CollocInfer","1.0.1"
"coloc","2.3-1"
"colorfulVennPlot","2.4"
"colorRamps","2.3"
"colorspace","1.2-4"
"colortools","0.1.5"
"colourlovers","0.1.3"
"comato","1.0"
"combinat","0.0-8"
"CombinePValue","1.0"
"CombinS","1.0"
"CombMSC","1.4.2"
"comclim","0.9.4"
"commandr","1.0.1"
"commentr","0.1"
"CommonJavaJars","1.0-5"
"CommonTrend","0.7-1"
"CommunityCorrelogram","1.0"
"Comp2ROC","1.0"
"compactr","0.1"
"compare","0.2-5"
"compareGroups","2.0.5"
"compareODM","1.2"
"CompareTests","1.0"
"comparison","1.0-4"
"compeir","1.0"
"compendiumdb","0.1.0"
"CompGLM","1.0"
"compHclust","1.0-2"
"Compind","1.0"
"complmrob","0.5.8"
"CompLognormal","3.0"
"compoisson","0.3"
"COMPoissonReg","0.3.4"
"compositions","1.40-1"
"compound.Cox","1.4"
"Compounding","1.0.2"
"CompQuadForm","1.4.1"
"CompRandFld","1.0.3-1"
"compute.es","0.2-4"
"ConConPiWiFun","0.4.4"
"concor","1.0-0.1"
"concreg","0.5"
"cond","1.2-3"
"condGEE","0.1-4"
"condmixt","1.0"
"CondReg","0.20"
"coneproj","1.5"
"conf.design","2.0.0"
"confidence","1.1-0"
"confreq","1.3"
"conics","0.3"
"conjoint","1.39"
"ConjointChecks","0.0.9"
"ConnMatTools","0.1.5"
"constrainedKriging","0.2.3"
"contfrac","1.1-9"
"conting","1.4"
"contrast","0.19"
"ConvCalendar","1.2"
"ConvergenceConcepts","1.1"
"convexHaz","0.2"
"cooccur","1.2"
"cooptrees","1.0"
"COP","1.0-2"
"COPASutils","0.1.5"
"copBasic","1.6.0"
"copCAR","1.0"
"copula","0.999-12"
"copulaedas","1.4.1"
"CopulaRegression","0.1-5"
"CopyDetect","1.1"
"copynumber",NA
"corclass","0.1"
"corcounts","1.4"
"CORE","2.0"
"CORElearn","0.9.43"
"coreTDT","1.0"
"corHMM","1.15"
"CORM","1.0.2"
"corpcor","1.6.7"
"corpora","0.4-3"
"CorrBin","1.4"
"CorReg","0.15.8"
"correlate","1.0"
"Correlplot","1.0-2"
"corrgram","1.6"
"corrplot","0.73"
"corrsieve","1.6-8"
"corTools","1.0"
"COSINE","2.1"
"cosinor","1.1"
"cosmoFns","1.0-1"
"CosmoPhotoz","0.1"
"cosmosR","1.0"
"cosso","2.1-1"
"costat","2.3"
"cotrend","1.0"
"couchDB","1.3.0"
"COUNT","1.3.2"
"countrycode","0.17"
"CountsEPPM","2.0"
"covLCA","1.0"
"covreg","1.0"
"covRobust","1.1-0"
"CovSel","1.1"
"covTest","1.02"
"CoxBoost","1.4"
"coxinterval","1.0"
"coxme","2.2-3"
"coxphf","1.10"
"coxphw","3.0.0"
"CoxRidge","0.9.1"
"coxrobust","1.0"
"CP","1.5"
"cpa","1.0"
"cpca","0.1.2"
"CPE","1.4.4"
"CpGassoc","2.11"
"CpGFilter","1.0"
"CPHshape","1.0.1"
"cpk","1.3-1"
"cplexAPI","1.2.11"
"cplm","0.7-2"
"CPMCGLM","1.1"
"Cprob","1.2.4"
"cqrReg","1.0"
"CR","1.0"
"CRAC","1.0"
"crackR","0.3-9"
"cramer","0.9-1"
"crank","1.0-6"
"crantastic","0.1"
"crawl","1.4-1"
"crayon","1.1.0"
"crblocks","0.9-1"
"crch","0.1-0"
"CreditMetrics","0.0-2"
"CRF","0.3-8"
"crimCV","0.9.3"
"CRM","1.1.1"
"crmn","0.0.20"
"crn","1.1"
"crossdes","1.1-1"
"crossmatch","1.3-1"
"Crossover","0.1-13"
"crossReg","1.0"
"crossval","1.0.2"
"crp.CSFP","2.0"
"crqa","1.0.5"
"crrSC","1.1"
"crrstep","2014-07.16"
"crs","0.15-23"
"CRTSize","0.3"
"CrypticIBDcheck","0.3-1"
"csampling","1.2-2"
"cSFM","1.1"
"cshapes","0.4-2"
"cslogistic","0.1-3"
"csn","1.1"
"CSS","1.0.2"
"csSAM","1.2.4"
"cstar","1.0"
"csvread","1.1"
"ctc",NA
"cts","1.0-19"
"CTT","2.1"
"ctv","0.8-0"
"cubature","1.1-2"
"cubfits","0.1-0"
"Cubist","0.0.18"
"cudaBayesreg","0.3-15"
"cudaBayesregData","0.3-11"
"cudia","0.1"
"CUMP","1.0"
"cumplyr","0.1-1"
"cumSeg","1.1"
"curl","0.3"
"currentSurvival","1.0"
"curvetest","2.2"
"curvHDR","1.0-3"
"cutoffR","1.0"
"cuttlefish.model","1.0"
"cvAUC","1.1.0"
"CVcalibration","1.0-1"
"cvplogistic","3.1-0"
"cvq2","1.2.0"
"CVST","0.2-1"
"CVThresh","1.1.1"
"cvTools","0.3.2"
"CVTuningCov","1.0"
"cvxclustr","1.1.1"
"cwhmisc","5.0"
"cwm","0.0.3"
"cxxfunplus","1.0"
"cycloids","1.0"
"cyphid","1.1"
"cytoDiv","0.5-3"
"D2C","1.1"
"d3Network","0.5.1"
"DAAG","1.20"
"DAAGbio","0.62"
"DAAGxtras","0.8-4"
"dae","2.4-0"
"daewr","1.0-10"
"dafs","1.0-37"
"dagbag","1.1"
"DAGGER","1.4"
"dagR","1.1.3"
"Daim","1.1.0"
"DAKS","2.1-2"
"DALY","1.4.0"
"DAMisc","1.2"
"DAMOCLES","1.0"
"dams","0.1"
"DandEFA","1.5"
"darch","0.9.1"
"darts","1.0"
"dashboard","0.1.0"
"DatABEL","0.9-5"
"datacheck","1.0.4"
"DataCombine","0.2.7.1"
"dataframes2xls","0.4.6"
"datalist","0.2"
"datamap","0.1-1"
"datamart","0.5.2"
"datamerge","1.0-1"
"dataQualityR","1.0"
"dataRetrieval","2.0.1"
"data.table","1.9.4"
"datautils","0.1.4"
"dataview","2.0-9"
"date","1.2-34"
"DATforDCEMRI","0.55"
"dave","1.5"
"Davies","1.1-8"
"dawai","1.1"
"dbarts","0.8-5"
"dbConnect","1.0"
"dbEmpLikeGOF","1.2.4"
"dbEmpLikeNorm","1.0.0"
"DBFTest","1.0"
"DBGSA","1.2"
"DBI","0.3.1"
"DBKGrad","1.6"
"dblcens","1.1.7"
"dbmss","2.1.2"
"db.r","0.1.1"
"dbstats","1.0.4"
"dcemriS4","0.51"
"DCGL","2.1.1"
"dcGOR","1.0.4"
"DCL","0.1.0"
"dclone","2.0-0"
"DCluster","0.2-6"
"dcmle","0.2-4"
"dcmr","1.0"
"dcv","0.1.1"
"ddalpha","1.0.6"
"DDD","2.5"
"DDHFm","1.1.1"
"DDIwR","0.2-0"
"ddst","1.03"
"deal","1.2-37"
"deamer","1.0"
"debug","1.3.1"
"decctools","0.2.0"
"DECIDE","1.2"
"decompr","1.3.2"
"decon","1.2-4"
"Deducer","0.7-7"
"DeducerExtras","1.7"
"DeducerPlugInExample","0.2-0"
"DeducerPlugInScaling","0.1-0"
"DeducerSpatial","0.7"
"DeducerSurvival","0.1-0"
"DeducerText","0.1-2"
"deducorrect","1.3-5"
"deepnet","0.2"
"degenes","1.1"
"degreenet","1.2"
"Delaporte","2.2-2"
"deldir","0.1-7"
"deltaPlotR","1.5"
"Demerelate","0.8-1"
"DEMEtics","0.8-7"
"demi","1.1.1"
"deming","1.0-1"
"demography","1.18"
