,biocViews,Enhances,LinkingTo,License,URL,Imports,Suggests Me,Suggests,Depends,Version,SystemRequirements,Imports Me,Depends On Me
BSgenome.Cfamiliaris.UCSC.canFam2,"AnnotationData,BSgenome,Canis_familiaris,Genetics",,,Artistic-2.0,,BSgenome,,GenomicFeatures,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Cfamiliaris.UCSC.canFam2.masked,BSgenome.Cfamiliaris.UCSC.canFam2.masked
BSgenome.Cfamiliaris.UCSC.canFam2.masked,"AnnotationData,BSgenome,Canis_familiaris,Genetics",,,Artistic-2.0,,"BSgenome,BSgenome.Cfamiliaris.UCSC.canFam2",,,"BSgenome(>= 1.31.8),BSgenome.Cfamiliaris.UCSC.canFam2",1.3.99,,,
BSgenome.Cfamiliaris.UCSC.canFam3,"AnnotationData,BSgenome,Canis_familiaris,Genetics",,,Artistic-2.0,,BSgenome,,GenomicFeatures,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Cfamiliaris.UCSC.canFam3.masked,BSgenome.Cfamiliaris.UCSC.canFam3.masked
BSgenome.Cfamiliaris.UCSC.canFam3.masked,"AnnotationData,BSgenome,Canis_familiaris,Genetics",,,Artistic-2.0,,"BSgenome,BSgenome.Cfamiliaris.UCSC.canFam3",,,"BSgenome(>= 1.31.8),BSgenome.Cfamiliaris.UCSC.canFam3",1.3.99,,,
BSgenome.Dmelanogaster.UCSC.dm2,"AnnotationData,BSgenome,Drosophila_melanogaster,Genetics",,,Artistic-2.0,,BSgenome,,GenomicFeatures,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Dmelanogaster.UCSC.dm2.masked,BSgenome.Dmelanogaster.UCSC.dm2.masked
BSgenome.Dmelanogaster.UCSC.dm2.masked,"AnnotationData,BSgenome,Drosophila_melanogaster,Genetics",,,Artistic-2.0,,"BSgenome,BSgenome.Dmelanogaster.UCSC.dm2",,,"BSgenome(>= 1.31.8),BSgenome.Dmelanogaster.UCSC.dm2",1.3.99,,,
BSgenome.Dmelanogaster.UCSC.dm3,"AnnotationData,BSgenome,Drosophila_melanogaster,Genetics",,,Artistic-2.0,,BSgenome,"Biostrings,easyRNASeq,GenomicAlignments,GenomicFeatures,gmapR,PWMEnrich,RnaSeqTutorial",TxDb.Dmelanogaster.UCSC.dm3.ensGene,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Dmelanogaster.UCSC.dm3.masked,BSgenome.Dmelanogaster.UCSC.dm3.masked
BSgenome.Dmelanogaster.UCSC.dm3.masked,"AnnotationData,BSgenome,Drosophila_melanogaster,Genetics",,,Artistic-2.0,,"BSgenome,BSgenome.Dmelanogaster.UCSC.dm3",,,"BSgenome(>= 1.31.8),BSgenome.Dmelanogaster.UCSC.dm3",1.3.99,,,
BSgenome.Drerio.UCSC.danRer5,"AnnotationData,BSgenome,Danio_rerio,Genetics",,,Artistic-2.0,,BSgenome,,GenomicFeatures,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Drerio.UCSC.danRer5.masked,BSgenome.Drerio.UCSC.danRer5.masked
BSgenome.Drerio.UCSC.danRer5.masked,"AnnotationData,BSgenome,Danio_rerio,Genetics",,,Artistic-2.0,,"BSgenome,BSgenome.Drerio.UCSC.danRer5",,,"BSgenome(>= 1.31.8),BSgenome.Drerio.UCSC.danRer5",1.3.99,,,
BSgenome.Drerio.UCSC.danRer6,"AnnotationData,BSgenome,Danio_rerio,Genetics",,,Artistic-2.0,,BSgenome,,GenomicFeatures,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Drerio.UCSC.danRer6.masked,BSgenome.Drerio.UCSC.danRer6.masked
BSgenome.Drerio.UCSC.danRer6.masked,"AnnotationData,BSgenome,Danio_rerio,Genetics",,,Artistic-2.0,,"BSgenome,BSgenome.Drerio.UCSC.danRer6",,,"BSgenome(>= 1.31.8),BSgenome.Drerio.UCSC.danRer6",1.3.99,,,
BSgenome.Drerio.UCSC.danRer7,"AnnotationData,BSgenome,Danio_rerio,Genetics",,,Artistic-2.0,,BSgenome,CAGEr,GenomicFeatures,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Drerio.UCSC.danRer7.masked,"BSgenome.Drerio.UCSC.danRer7.masked,cleanUpdTSeq"
BSgenome.Drerio.UCSC.danRer7.masked,"AnnotationData,BSgenome,Danio_rerio,Genetics",,,Artistic-2.0,,"BSgenome,BSgenome.Drerio.UCSC.danRer7",,,"BSgenome(>= 1.31.8),BSgenome.Drerio.UCSC.danRer7",1.3.99,,,
BSgenome.Ecoli.NCBI.20080805,"AnnotationData,BSgenome,Escherichia_coli,Genetics",,,Artistic-2.0,,BSgenome,ChIPpeakAnno,,BSgenome(>= 1.33.5),1.3.1000,,Basic4Cseq,
BSgenome.Gaculeatus.UCSC.gasAcu1,"AnnotationData,BSgenome,Gasterosteus_aculeatus,Genetics",,,Artistic-2.0,,BSgenome,,GenomicFeatures,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Gaculeatus.UCSC.gasAcu1.masked,BSgenome.Gaculeatus.UCSC.gasAcu1.masked
BSgenome.Gaculeatus.UCSC.gasAcu1.masked,"AnnotationData,BSgenome,Gasterosteus_aculeatus,Genetics",,,Artistic-2.0,,"BSgenome,BSgenome.Gaculeatus.UCSC.gasAcu1",,,"BSgenome(>= 1.31.8),BSgenome.Gaculeatus.UCSC.gasAcu1",1.3.99,,,
BSgenome.Ggallus.UCSC.galGal3,"AnnotationData,BSgenome,Gallus_gallus,Genetics",,,Artistic-2.0,,BSgenome,,GenomicFeatures,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Ggallus.UCSC.galGal3.masked,BSgenome.Ggallus.UCSC.galGal3.masked
BSgenome.Ggallus.UCSC.galGal3.masked,"AnnotationData,BSgenome,Gallus_gallus,Genetics",,,Artistic-2.0,,"BSgenome,BSgenome.Ggallus.UCSC.galGal3",,,"BSgenome(>= 1.31.8),BSgenome.Ggallus.UCSC.galGal3",1.3.99,,,
BSgenome.Ggallus.UCSC.galGal4,"AnnotationData,BSgenome,Gallus_gallus,Genetics",,,Artistic-2.0,,BSgenome,,GenomicFeatures,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Ggallus.UCSC.galGal4.masked,BSgenome.Ggallus.UCSC.galGal4.masked
BSgenome.Ggallus.UCSC.galGal4.masked,"AnnotationData,BSgenome,Gallus_gallus,Genetics",,,Artistic-2.0,,"BSgenome,BSgenome.Ggallus.UCSC.galGal4",,,"BSgenome(>= 1.31.8),BSgenome.Ggallus.UCSC.galGal4",1.3.99,,,
BSgenome.Hsapiens.NCBI.GRCh38,"AnnotationData,BSgenome,Genetics,Homo_sapiens",,,Artistic-2.0,,BSgenome,"GenomeInfoDb,h5vc,SNPlocs.Hsapiens.dbSNP141.GRCh38",,BSgenome(>= 1.33.5),1.3.1000,,,
BSgenome.Hsapiens.UCSC.hg17,"AnnotationData,BSgenome,Genetics,Homo_sapiens",,,Artistic-2.0,,BSgenome,,GenomicFeatures,BSgenome(>= 1.33.5),1.3.1000,,BSgenome.Hsapiens.UCSC.hg17.masked,BSgenome.Hsapiens.UCSC.hg17.masked
BSgenome.Hsapiens.UCSC.hg17.masked,"AnnotationData,BSgenome,Genetics,Homo_sapiens",,,Artistic-2.0,,"BSgenome,BSgenome.Hsapiens.UCSC.hg17",,,"BSgenome(>= 1.31.8),BSgenome.Hsapiens.UCSC.hg17",1.3.99,,,
BSgenome.Hsapiens.UCSC.hg18,"AnnotationData,BSgenome,Genetics,Homo_sapiens",,,Artistic-2.0,,BSgenome,"ArrayTV,Biostrings,charm,MEDME,methylPipe,MethylSeekR,Repitools,SNPlocs.Hsapiens.dbSNP.20090506,VanillaICE",TxDb.Hsapiens.UCSC.hg18.knownGene,BSgenome(>= 1.33.5),1.3.1000,,BSgenome.Hsapiens.UCSC.hg18.masked,BSgenome.Hsapiens.UCSC.hg18.masked
BSgenome.Hsapiens.UCSC.hg18.masked,"AnnotationData,BSgenome,Genetics,Homo_sapiens",,,Artistic-2.0,,"BSgenome,BSgenome.Hsapiens.UCSC.hg18",r3Cseq,,"BSgenome(>= 1.31.8),BSgenome.Hsapiens.UCSC.hg18",1.3.99,,,
BSgenome.Hsapiens.UCSC.hg19,"AnnotationData,BSgenome,Genetics,Homo_sapiens",,,Artistic-2.0,,BSgenome,"ArrayTV,Basic4Cseq,biovizBase,BSgenome,CRISPRseek,customProDB,FDb.FANTOM4.promoters.hg19,FDb.UCSC.snp135common.hg19,FDb.UCSC.snp137common.hg19,GenomicAlignments,GenomicFeatures,GenomicInteractions,GenomicRanges,ggbio,gmapR,Gviz,h5vc,MEDIPS,MiRaGE,oneChannelGUI,Pbase,R453Plus1Toolbox,Rariant,rGADEM,Rsamtools,RSVSim,rtracklayer,SNPlocs.Hsapiens.dbSNP.20100427,SNPlocs.Hsapiens.dbSNP.20101109,SNPlocs.Hsapiens.dbSNP.20110815,SNPlocs.Hsapiens.dbSNP.20111119,SNPlocs.Hsapiens.dbSNP.20120608,SomaticSignatures,spliceR,VariantAnnotation,wavClusteR",TxDb.Hsapiens.UCSC.hg19.knownGene,BSgenome(>= 1.33.5),1.4.0,,"BSgenome.Hsapiens.UCSC.hg19.masked,VariantFiltering","BSgenome.Hsapiens.UCSC.hg19.masked,chimera,motifRG"
BSgenome.Hsapiens.UCSC.hg19.masked,"AnnotationData,BSgenome,Genetics,Homo_sapiens",,,Artistic-2.0,,"BSgenome,BSgenome.Hsapiens.UCSC.hg19","BSgenome,r3Cseq,RSVSim",,"BSgenome(>= 1.31.8),BSgenome.Hsapiens.UCSC.hg19",1.3.99,,,
BSgenome.Mfuro.UCSC.musFur1,"AnnotationData,BSgenome,Genetics,Mustela_furo",,,Artistic-2.0,,BSgenome,,,BSgenome(>= 1.33.8),1.4.1,,,
BSgenome.Mmulatta.UCSC.rheMac2,"AnnotationData,BSgenome,Genetics,Macaca_mulatta",,,Artistic-2.0,,BSgenome,,GenomicFeatures,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Mmulatta.UCSC.rheMac2.masked,BSgenome.Mmulatta.UCSC.rheMac2.masked
BSgenome.Mmulatta.UCSC.rheMac2.masked,"AnnotationData,BSgenome,Genetics,Macaca_mulatta",,,Artistic-2.0,,"BSgenome,BSgenome.Mmulatta.UCSC.rheMac2",,,"BSgenome(>= 1.31.8),BSgenome.Mmulatta.UCSC.rheMac2",1.3.99,,,
BSgenome.Mmulatta.UCSC.rheMac3,"AnnotationData,BSgenome,Genetics,Macaca_mulatta",,,Artistic-2.0,,BSgenome,,GenomicFeatures,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Mmulatta.UCSC.rheMac3.masked,BSgenome.Mmulatta.UCSC.rheMac3.masked
BSgenome.Mmulatta.UCSC.rheMac3.masked,"AnnotationData,BSgenome,Genetics,Macaca_mulatta",,,Artistic-2.0,,"BSgenome,BSgenome.Mmulatta.UCSC.rheMac3",,,"BSgenome(>= 1.31.8),BSgenome.Mmulatta.UCSC.rheMac3",1.3.99,,,
BSgenome.Mmusculus.UCSC.mm10,"AnnotationData,BSgenome,Genetics,Mus_musculus",,,Artistic-2.0,,BSgenome,MiRaGE,TxDb.Mmusculus.UCSC.mm10.knownGene,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Mmusculus.UCSC.mm10.masked,BSgenome.Mmusculus.UCSC.mm10.masked
BSgenome.Mmusculus.UCSC.mm10.masked,"AnnotationData,BSgenome,Genetics,Mus_musculus",,,Artistic-2.0,,"BSgenome,BSgenome.Mmusculus.UCSC.mm10",,,"BSgenome(>= 1.31.8),BSgenome.Mmusculus.UCSC.mm10",1.3.99,,,
BSgenome.Mmusculus.UCSC.mm8,"AnnotationData,BSgenome,Genetics,Mus_musculus",,,Artistic-2.0,,BSgenome,,GenomicFeatures,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Mmusculus.UCSC.mm8.masked,BSgenome.Mmusculus.UCSC.mm8.masked
BSgenome.Mmusculus.UCSC.mm8.masked,"AnnotationData,BSgenome,Genetics,Mus_musculus",,,Artistic-2.0,,"BSgenome,BSgenome.Mmusculus.UCSC.mm8",rTRM,,"BSgenome(>= 1.31.8),BSgenome.Mmusculus.UCSC.mm8",1.3.99,,,
BSgenome.Mmusculus.UCSC.mm9,"AnnotationData,BSgenome,Genetics,Mus_musculus",,,Artistic-2.0,,BSgenome,"compEpiTools,GenomicInteractions,MEDME,oneChannelGUI",TxDb.Mmusculus.UCSC.mm9.knownGene,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Mmusculus.UCSC.mm9.masked,BSgenome.Mmusculus.UCSC.mm9.masked
BSgenome.Mmusculus.UCSC.mm9.masked,"AnnotationData,BSgenome,Genetics,Mus_musculus",,,Artistic-2.0,,"BSgenome,BSgenome.Mmusculus.UCSC.mm9",r3Cseq,,"BSgenome(>= 1.31.8),BSgenome.Mmusculus.UCSC.mm9",1.3.99,,,
BSgenome.Osativa.MSU.MSU7,"AnnotationData,BSgenome,Genetics,Oryza_sativa",,,Artistic-2.0,,BSgenome,,,BSgenome(>= 1.28.0),0.99.1,,,
BSgenome.Ptroglodytes.UCSC.panTro2,"AnnotationData,BSgenome,Genetics,Pan_troglodytes",,,Artistic-2.0,,BSgenome,,GenomicFeatures,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Ptroglodytes.UCSC.panTro2.masked,BSgenome.Ptroglodytes.UCSC.panTro2.masked
BSgenome.Ptroglodytes.UCSC.panTro2.masked,"AnnotationData,BSgenome,Genetics,Pan_troglodytes",,,Artistic-2.0,,"BSgenome,BSgenome.Ptroglodytes.UCSC.panTro2",,,"BSgenome(>= 1.31.8),BSgenome.Ptroglodytes.UCSC.panTro2",1.3.99,,,
BSgenome.Ptroglodytes.UCSC.panTro3,"AnnotationData,BSgenome,Genetics,Pan_troglodytes",,,Artistic-2.0,,BSgenome,,GenomicFeatures,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Ptroglodytes.UCSC.panTro3.masked,BSgenome.Ptroglodytes.UCSC.panTro3.masked
BSgenome.Ptroglodytes.UCSC.panTro3.masked,"AnnotationData,BSgenome,Genetics,Pan_troglodytes",,,Artistic-2.0,,"BSgenome,BSgenome.Ptroglodytes.UCSC.panTro3",,,"BSgenome(>= 1.31.8),BSgenome.Ptroglodytes.UCSC.panTro3",1.3.99,,,
BSgenome.Rnorvegicus.UCSC.rn4,"AnnotationData,BSgenome,Genetics,Rattus_norvegicus",,,Artistic-2.0,,BSgenome,oneChannelGUI,TxDb.Rnorvegicus.UCSC.rn4.ensGene,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Rnorvegicus.UCSC.rn4.masked,BSgenome.Rnorvegicus.UCSC.rn4.masked
BSgenome.Rnorvegicus.UCSC.rn4.masked,"AnnotationData,BSgenome,Genetics,Rattus_norvegicus",,,Artistic-2.0,,"BSgenome,BSgenome.Rnorvegicus.UCSC.rn4",,,"BSgenome(>= 1.31.8),BSgenome.Rnorvegicus.UCSC.rn4",1.3.99,,,
BSgenome.Rnorvegicus.UCSC.rn5,"AnnotationData,BSgenome,Genetics,Rattus_norvegicus",,,Artistic-2.0,,BSgenome,BSgenome,TxDb.Rnorvegicus.UCSC.rn5.refGene,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Rnorvegicus.UCSC.rn5.masked,BSgenome.Rnorvegicus.UCSC.rn5.masked
BSgenome.Rnorvegicus.UCSC.rn5.masked,"AnnotationData,BSgenome,Genetics,Rattus_norvegicus",,,Artistic-2.0,,"BSgenome,BSgenome.Rnorvegicus.UCSC.rn5",,,"BSgenome(>= 1.31.8),BSgenome.Rnorvegicus.UCSC.rn5",1.3.99,,,
BSgenome.Scerevisiae.UCSC.sacCer1,"AnnotationData,BSgenome,Genetics,Saccharomyces_cerevisiae",,,Artistic-2.0,,BSgenome,,,BSgenome(>= 1.33.5),1.4.0,,,
BSgenome.Scerevisiae.UCSC.sacCer2,"AnnotationData,BSgenome,Genetics,Saccharomyces_cerevisiae",,,Artistic-2.0,,BSgenome,"GenomeInfoDb,GenomicRanges,R453Plus1Toolbox",,BSgenome(>= 1.33.5),1.4.0,,,
BSgenome.Scerevisiae.UCSC.sacCer3,"AnnotationData,BSgenome,Genetics,Saccharomyces_cerevisiae",,,Artistic-2.0,,BSgenome,gmapR,,BSgenome(>= 1.33.5),1.4.0,,,
BSgenome.Sscrofa.UCSC.susScr3,"AnnotationData,BSgenome,Genetics,Sus_scrofa",,,Artistic-2.0,,BSgenome,,,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Sscrofa.UCSC.susScr3.masked,BSgenome.Sscrofa.UCSC.susScr3.masked
BSgenome.Sscrofa.UCSC.susScr3.masked,"AnnotationData,BSgenome,Genetics,Sus_scrofa",,,Artistic-2.0,,"BSgenome,BSgenome.Sscrofa.UCSC.susScr3",,,"BSgenome(>= 1.31.11),BSgenome.Sscrofa.UCSC.susScr3",1.3.99,,,
BSgenome.Tgondii.ToxoDB.7.0,"AnnotationData,Genetics,Toxoplasma_gondii",,,GPL 3,,BSgenome,,,BSgenome(>= 1.21.3),0.99.0,,,
BSgenome.Tguttata.UCSC.taeGut1,"AnnotationData,BSgenome,Genetics,Taeniopygia_guttata",,,Artistic-2.0,,BSgenome,,,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Tguttata.UCSC.taeGut1.masked,BSgenome.Tguttata.UCSC.taeGut1.masked
BSgenome.Tguttata.UCSC.taeGut1.masked,"AnnotationData,BSgenome,Genetics,Taeniopygia_guttata",,,Artistic-2.0,,"BSgenome,BSgenome.Tguttata.UCSC.taeGut1",,,"BSgenome(>= 1.31.11),BSgenome.Tguttata.UCSC.taeGut1",1.3.99,,,
ChemmineDrugs,"AnnotationData,CustomDBSchema",,,Artistic-2.0,,"BiocGenerics,RSQLite",ChemmineR,"BiocStyle,knitcitations,knitr","R (>= 2.10.0),ChemmineR",0.99.3,,,
DO.db,"AnnotationData,FunctionalAnnotation",,,Artistic-2.0,,"methods,AnnotationDbi",gwascat,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.9.7)",2.8.0,,DOSE,
FDb.FANTOM4.promoters.hg19,"AnnotationData,Homo_sapiens",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi",,"BSgenome.Hsapiens.UCSC.hg19,rtracklayer,matrixStats","GenomicFeatures(>= 1.7.22),Biostrings",1.0.0,,,
FDb.InfiniumMethylation.hg18,"AnnotationData,DNAMethylation,Homo_sapiens",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi,Biostrings",,,"R (>= 2.10),GenomicFeatures(>= 1.7.22),TxDb.Hsapiens.UCSC.hg18.knownGene,org.Hs.eg.db",2.1.99,,,
FDb.InfiniumMethylation.hg19,"AnnotationData,DNAMethylation,Homo_sapiens",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi,Biostrings","methyAnalysis,methylumi",FDb.UCSC.snp135common.hg19,"R (>= 2.10),GenomicFeatures(>= 1.7.22),TxDb.Hsapiens.UCSC.hg19.knownGene,org.Hs.eg.db",2.1.999,,MethylAid,
FDb.UCSC.snp135common.hg19,"AnnotationData,Homo_sapiens",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi",FDb.InfiniumMethylation.hg19,"BSgenome.Hsapiens.UCSC.hg19,SNPlocs.Hsapiens.dbSNP.20111119",GenomicFeatures(>= 1.7.22),1.0.0,,,
FDb.UCSC.snp137common.hg19,"AnnotationData,Homo_sapiens",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi",,BSgenome.Hsapiens.UCSC.hg19,GenomicFeatures(>= 1.7.22),1.0.0,,,
FDb.UCSC.tRNAs,"AnnotationData,Genetics,Homo_sapiens,TxDb",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi",GenomicFeatures,,GenomicFeatures(>= 1.9.39),1.0.1,,,
GGHumanMethCancerPanelv1.db,"AnnotationData,GGHumanMethCancerPanelv1,Homo_sapiens,IlluminaChip",,,Artistic-2.0,,"methods,AnnotationDbi,AnnotationForge",,annotate,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.9),org.Hs.eg.db(>= 2.4.5)",1.4.1,,,
GO.db,"AnnotationData,FunctionalAnnotation",,,Artistic-2.0,,"methods,AnnotationDbi","annotate,AnnotationDbi,AnnotationForge,AnnotationFuncs,BiocCaseStudies,categoryCompare,cellHTS,eisa,FGNet,gage,gCMAP,geecc,GeneAnswers,GlobalAncova,globaltest,GOstats,GSEABase,hpar,HTSanalyzeR,interactiveDisplay,limma,mgsa,MLP,neaGUI,pcaGoPromoter,PCpheno,phenoTest,RforProteomics,rols,RTopper,safe,SLGI,yeastExpData",,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15)",3.0.0,,"adSplit,ChIPpeakAnno,clusterProfiler,compEpiTools,ExpressionView,facopy,GOFunction,GOSemSim,goseq,GOstats,goTools,PCpheno,RDAVIDWebService,ScISI,SLGI,systemPipeR","affycoretools,annaffy,Category,davidTiling,ExpressionView,GOFunction,goProfiles,GOSim,goTools,Homo.sapiens,Mus.musculus,mvGST,PGSEA,Rattus.norvegicus,ScISI,SemDist,topGO"
Homo.sapiens,"AnnotationData,Genetics,Homo_sapiens,OrganismDb",,,Artistic-2.0,,"GenomicFeatures,AnnotationDbi","AnnotationForge,ggbio,methylumi,OrganismDbi",,"R (>= 1.6),AnnotationDbi(>= 1.17.11), methods,OrganismDbi,GenomicFeatures,GO.db,org.Hs.eg.db,TxDb.Hsapiens.UCSC.hg19.knownGene",1.1.2,,,
Hs6UG171.db,"AnnotationData,CUSTOMChip,ChipDb,Homo_sapiens,Hs6UG171",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
HsAgilentDesign026652.db,"AgilentChip,AnnotationData,ChipDb,Homo_sapiens,HsAgilentDesign026652",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
Hspec,"AffymetrixChip,AnnotationData,Homo_sapiens,Hspec,cdf",,,LGPL,,,,,R (>= 2.10),0.99.0,,,
HuExExonProbesetLocation,"AffymetrixChip,AnnotationData,Homo_sapiens,HuEx,probe",,,LGPL,,,oneChannelGUI,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",1.15.0,,,
HuExExonProbesetLocationHg18,"AffymetrixChip,AnnotationData,Homo_sapiens,HuEx",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.8.0)",0.0.2,,,
HuExExonProbesetLocationHg19,"AffymetrixChip,AnnotationData,Homo_sapiens,HuEx",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.11.8)",0.0.3,,,
HuO22.db,"AnnotationData,ChipDb,FHCRC Genomics Shared ResourceChip,Homo_sapiens,HuO22",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
IlluminaHumanMethylation27k.db,"AnnotationData,DNAMethylation,Homo_sapiens,IlluminaChip",,,Artistic-2.0,,"methods,AnnotationDbi",methylumi,annotate,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.11.9),org.Hs.eg.db(>= 2.4.5)",1.4.8,,,
IlluminaHumanMethylation27kmanifest,"AnnotationData,DNAMethylation,Homo_sapiens,IlluminaChip",,,Artistic-2.0,,,,,"R (>= 2.13.0),minfi",0.4.0,,,
